,Instrument,Company Common Name,Date,Price Close,Close Price
2053,BILI.O,,2020-10-20T00:00:00Z,45.24,45.24
2054,BILI.O,,2020-10-21T00:00:00Z,45.16,45.16
2055,BILI.O,,2020-10-22T00:00:00Z,45.3,45.3
2056,BILI.O,,2020-10-23T00:00:00Z,44.44,44.44
2057,BILI.O,,2020-10-26T00:00:00Z,45.0,45.0
2058,BILI.O,,2020-10-27T00:00:00Z,45.82,45.82
2059,BILI.O,,2020-10-28T00:00:00Z,44.37,44.37
2060,BILI.O,,2020-10-29T00:00:00Z,46.41,46.41
2061,BILI.O,,2020-10-30T00:00:00Z,44.67,44.67
2062,BILI.O,,2020-11-02T00:00:00Z,44.46,44.46
2063,BILI.O,,2020-11-03T00:00:00Z,44.62,44.62
2064,BILI.O,,2020-11-04T00:00:00Z,48.16,48.16
2065,BILI.O,,2020-11-05T00:00:00Z,46.06,46.06
2066,BILI.O,,2020-11-06T00:00:00Z,48.87,48.87
2067,BILI.O,,2020-11-09T00:00:00Z,46.04,46.04
2068,BILI.O,,2020-11-10T00:00:00Z,43.7,43.7
2069,BILI.O,,2020-11-11T00:00:00Z,44.2,44.2
2070,BILI.O,,2020-11-12T00:00:00Z,45.9,45.9
2071,BILI.O,,2020-11-13T00:00:00Z,48.9,48.9
2072,BILI.O,,2020-11-16T00:00:00Z,50.05,50.05
2073,BILI.O,,2020-11-17T00:00:00Z,50.05,50.05
2074,BILI.O,,2020-11-18T00:00:00Z,47.85,47.85
2075,BILI.O,,2020-11-19T00:00:00Z,58.46,58.46
2076,BILI.O,,2020-11-20T00:00:00Z,60.0,60.0
2077,BILI.O,,2020-11-23T00:00:00Z,63.32,63.32
2078,BILI.O,,2020-11-24T00:00:00Z,62.84,62.84
2079,BILI.O,,2020-11-25T00:00:00Z,62.01,62.01
2080,BILI.O,,2020-11-27T00:00:00Z,64.86,64.86
2081,BILI.O,,2020-11-30T00:00:00Z,62.86,62.86
2082,BILI.O,,2020-12-01T00:00:00Z,60.82,60.82
2083,BILI.O,,2020-12-02T00:00:00Z,61.79,61.79
2084,BILI.O,,2020-12-03T00:00:00Z,62.33,62.33
2085,BILI.O,,2020-12-04T00:00:00Z,67.79,67.79
2086,BILI.O,,2020-12-07T00:00:00Z,72.55,72.55
2087,BILI.O,,2020-12-08T00:00:00Z,75.3,75.3
2088,BILI.O,,2020-12-09T00:00:00Z,73.06,73.06
2089,BILI.O,,2020-12-10T00:00:00Z,75.71,75.71
