Date,Instrument,Close Price
2015-07-22,.CESIUSD,-12.3
2015-07-23,.CESIUSD,-7.0
2015-07-24,.CESIUSD,-14.4
2015-07-27,.CESIUSD,-10.5
2015-07-28,.CESIUSD,-15.8
2015-07-29,.CESIUSD,-14.9
2015-07-30,.CESIUSD,-16.3
2015-07-31,.CESIUSD,-15.4
2015-08-03,.CESIUSD,-14.0
2015-08-04,.CESIUSD,-14.0
2015-08-05,.CESIUSD,-8.2
2015-08-06,.CESIUSD,-7.6
2015-08-07,.CESIUSD,-8.2
2015-08-10,.CESIUSD,-5.9
2015-08-11,.CESIUSD,-5.4
2015-08-12,.CESIUSD,-4.1
2015-08-13,.CESIUSD,-5.4
2015-08-14,.CESIUSD,-4.4
2015-08-17,.CESIUSD,-9.2
2015-08-18,.CESIUSD,-8.2
2015-08-19,.CESIUSD,-15.8
2015-08-20,.CESIUSD,-17.1
2015-08-21,.CESIUSD,-18.2
2015-08-24,.CESIUSD,-18.6
2015-08-25,.CESIUSD,-15.3
2015-08-26,.CESIUSD,-9.3
2015-08-27,.CESIUSD,-2.7
2015-08-28,.CESIUSD,-7.5
2015-08-31,.CESIUSD,-8.2
2015-09-01,.CESIUSD,-12.6
2015-09-02,.CESIUSD,-15.9
2015-09-03,.CESIUSD,-14.7
2015-09-04,.CESIUSD,-15.6
2015-09-07,.CESIUSD,-16.1
2015-09-08,.CESIUSD,-16.6
2015-09-09,.CESIUSD,-16.9
2015-09-10,.CESIUSD,-16.6
2015-09-11,.CESIUSD,-22.2
2015-09-14,.CESIUSD,-20.3
2015-09-15,.CESIUSD,-24.7
2015-09-16,.CESIUSD,-23.5
2015-09-17,.CESIUSD,-27.3
2015-09-18,.CESIUSD,-27.4
2015-09-21,.CESIUSD,-27.7
2015-09-22,.CESIUSD,-28.3
2015-09-23,.CESIUSD,-28.2
2015-09-24,.CESIUSD,-27.5
2015-09-25,.CESIUSD,-25.0
2015-09-28,.CESIUSD,-23.8
2015-09-29,.CESIUSD,-20.4
2015-09-30,.CESIUSD,-20.5
2015-10-01,.CESIUSD,-22.3
2015-10-02,.CESIUSD,-29.7
2015-10-05,.CESIUSD,-29.7
2015-10-06,.CESIUSD,-29.4
2015-10-07,.CESIUSD,-28.9
2015-10-08,.CESIUSD,-26.8
2015-10-09,.CESIUSD,-26.3
2015-10-12,.CESIUSD,-24.3
2015-10-13,.CESIUSD,-24.1
2015-10-14,.CESIUSD,-26.7
2015-10-15,.CESIUSD,-18.5
2015-10-16,.CESIUSD,-14.8
2015-10-19,.CESIUSD,-11.3
2015-10-20,.CESIUSD,-7.2
2015-10-21,.CESIUSD,-5.6
2015-10-22,.CESIUSD,-5.3
2015-10-23,.CESIUSD,-0.1
2015-10-26,.CESIUSD,-7.7
2015-10-27,.CESIUSD,-10.1
2015-10-28,.CESIUSD,-10.0
2015-10-29,.CESIUSD,-10.5
2015-10-30,.CESIUSD,-12.7
2015-11-02,.CESIUSD,-13.1
2015-11-03,.CESIUSD,-13.4
2015-11-04,.CESIUSD,-6.5
2015-11-05,.CESIUSD,-8.4
2015-11-06,.CESIUSD,0.0
2015-11-09,.CESIUSD,0.6
2015-11-10,.CESIUSD,0.9
2015-11-11,.CESIUSD,1.0
2015-11-12,.CESIUSD,0.5
2015-11-13,.CESIUSD,0.0
2015-11-16,.CESIUSD,1.5
2015-11-17,.CESIUSD,-2.8
2015-11-18,.CESIUSD,-9.0
2015-11-19,.CESIUSD,-8.6
2015-11-20,.CESIUSD,-9.1
2015-11-23,.CESIUSD,-12.8
2015-11-24,.CESIUSD,-17.2
2015-11-25,.CESIUSD,-16.5
2015-11-26,.CESIUSD,-16.1
2015-11-27,.CESIUSD,-15.5
2015-11-30,.CESIUSD,-14.4
2015-12-01,.CESIUSD,-20.2
2015-12-02,.CESIUSD,-17.7
2015-12-03,.CESIUSD,-21.8
2015-12-04,.CESIUSD,-25.8
2015-12-07,.CESIUSD,-24.3
2015-12-08,.CESIUSD,-23.6
2015-12-09,.CESIUSD,-22.4
2015-12-10,.CESIUSD,-23.8
2015-12-11,.CESIUSD,-22.3
2015-12-14,.CESIUSD,-20.7
2015-12-15,.CESIUSD,-22.2
2015-12-16,.CESIUSD,-23.0
2015-12-17,.CESIUSD,-23.9
2015-12-18,.CESIUSD,-23.9
2015-12-21,.CESIUSD,-30.4
2015-12-22,.CESIUSD,-29.2
2015-12-23,.CESIUSD,-32.8
2015-12-24,.CESIUSD,-32.2
2015-12-24,.CESIUSD,-32.2
2015-12-28,.CESIUSD,-31.2
2015-12-29,.CESIUSD,-28.7
2015-12-30,.CESIUSD,-27.5
