,Default Spread (BofA High Yield OAS)
2006-12,3.07
2006-12,3.05
2006-12,3.0
2006-12,3.02
2006-12,3.06
2006-12,3.0
2006-12,3.0
2006-12,2.98
2006-12,2.99
2006-12,2.98
2006-12,2.97
2006-12,2.99
2006-12,2.93
2006-12,
2006-12,2.93
2006-12,2.87
2006-12,2.83
2006-12,2.82
2006-12,2.89
2007-01,
2007-01,2.91
2007-01,2.91
2007-01,2.95
2007-01,2.93
2007-01,2.92
2007-01,2.89
2007-01,2.87
2007-01,2.82
2007-01,2.8
2007-01,2.79
2007-01,2.78
2007-01,2.72
2007-01,2.73
2007-01,2.7
2007-01,2.69
2007-01,2.65
2007-01,2.63
2007-01,2.57
2007-01,2.59
2007-01,2.58
2007-01,2.62
2007-01,2.72
2007-02,2.66
2007-02,2.67
2007-02,2.67
2007-02,2.67
2007-02,2.65
2007-02,2.65
2007-02,2.59
2007-02,2.59
2007-02,2.58
2007-02,2.62
2007-02,2.59
2007-02,2.57
2007-02,2.57
2007-02,2.57
2007-02,2.53
2007-02,2.49
2007-02,2.55
2007-02,2.58
2007-02,2.79
2007-02,2.82
2007-03,2.83
2007-03,2.91
2007-03,2.99
2007-03,2.94
2007-03,2.91
2007-03,2.85
2007-03,2.75
2007-03,2.8
2007-03,2.92
2007-03,2.94
2007-03,2.88
2007-03,2.88
2007-03,2.85
2007-03,2.88
2007-03,2.91
2007-03,2.81
2007-03,2.79
2007-03,2.82
2007-03,2.81
2007-03,2.84
2007-03,2.82
2007-03,2.8
2007-03,2.85
2007-04,2.86
2007-04,2.83
2007-04,2.87
2007-04,2.84
2007-04,
2007-04,2.76
2007-04,2.78
2007-04,2.75
2007-04,2.75
2007-04,2.71
2007-04,2.7
2007-04,2.72
2007-04,2.73
2007-04,2.71
2007-04,2.68
2007-04,2.68
2007-04,2.7
2007-04,2.67
2007-04,2.63
2007-04,2.63
2007-04,2.74
2007-05,2.74
2007-05,2.72
2007-05,2.67
2007-05,2.7
2007-05,2.69
2007-05,2.69
2007-05,2.64
2007-05,2.65
2007-05,2.63
2007-05,2.61
2007-05,2.57
2007-05,2.58
2007-05,2.55
2007-05,2.51
2007-05,2.5
2007-05,2.46
2007-05,2.44
2007-05,2.45
2007-05,2.45
2007-05,
2007-05,2.42
2007-05,2.44
2007-05,2.46
2007-06,2.41
2007-06,2.44
2007-06,2.41
2007-06,2.48
2007-06,2.48
2007-06,2.51
2007-06,2.5
2007-06,2.49
