Date,MOVE
2006-07,63.6
2006-07,63.7
2006-07,63.4
2006-08,61.8
2006-08,66.2
2006-08,66.1
2006-08,62.5
2006-08,61.6
2006-08,59.2
2006-08,58.4
2006-08,60.7
2006-08,58.8
2006-08,58.0
2006-08,59.4
2006-08,59.9
2006-08,59.9
2006-08,59.3
2006-08,58.0
2006-08,59.6
2006-08,59.4
2006-08,58.7
2006-08,58.3
2006-08,57.1
2006-08,57.7
2006-08,58.1
2006-08,59.8
2006-09,56.7
2006-09,56.7
2006-09,55.1
2006-09,57.4
2006-09,55.8
2006-09,56.4
2006-09,56.3
2006-09,56.9
2006-09,57.5
2006-09,57.5
2006-09,55.9
2006-09,56.2
2006-09,56.2
2006-09,55.0
2006-09,59.5
2006-09,69.5
2006-09,70.2
2006-09,66.7
2006-09,65.8
2006-09,63.5
2006-09,63.1
2006-10,62.6
2006-10,61.0
2006-10,66.3
2006-10,66.0
2006-10,63.7
2006-10,63.7
2006-10,63.1
2006-10,62.0
2006-10,60.7
2006-10,60.3
2006-10,59.1
2006-10,61.1
2006-10,59.1
2006-10,58.4
2006-10,56.6
2006-10,58.6
2006-10,57.7
2006-10,57.1
2006-10,58.3
2006-10,59.5
2006-10,58.5
2006-10,60.9
2006-11,63.8
2006-11,63.5
2006-11,60.9
2006-11,58.9
2006-11,60.9
2006-11,63.5
2006-11,62.0
2006-11,63.5
2006-11,65.1
2006-11,66.3
2006-11,66.2
2006-11,64.5
2006-11,65.0
2006-11,63.6
2006-11,62.7
2006-11,62.9
2006-11,62.9
2006-11,63.0
2006-11,65.1
2006-11,67.1
2006-11,66.9
2006-11,68.5
2006-12,72.25
2006-12,70.1
2006-12,71.6
2006-12,75.0
2006-12,75.6
2006-12,71.1
2006-12,68.3
2006-12,64.7
2006-12,65.2
2006-12,64.5
2006-12,64.25
2006-12,62.7
2006-12,63.4
2006-12,61.5
2006-12,61.8
2006-12,65.3
2006-12,65.3
2006-12,64.6
2006-12,65.1
2006-12,65.9
2006-12,66.8
2006-12,66.8
2007-01,67.6
2007-01,70.9
2007-01,72.0
2007-01,67.4
2007-01,64.3
2007-01,61.8
2007-01,62.2
2007-01,63.0
2007-01,61.2
2007-01,61.2
2007-01,60.9
2007-01,60.1
2007-01,58.0
2007-01,57.2
2007-01,57.2
