,0
2011-11-04,0.8337
2011-11-11,0.7543
2011-11-18,0.9937
2011-11-25,1.2028
2011-12-02,0.653
2011-12-09,0.6047
2011-12-16,0.8707
2011-12-23,0.624
2011-12-30,0.6301
2012-01-06,0.5107
2012-01-13,0.5436
2012-01-20,0.4064
2012-01-27,0.2976
2012-02-03,0.2714
2012-02-10,0.0712
2012-02-17,0.1774
2012-02-24,0.044
2012-03-02,0.026
2012-03-09,0.1437
2012-03-16,-0.2255
2012-03-23,-0.1014
2012-03-30,0.0016
2012-04-06,0.0434
2012-04-13,0.2595
2012-04-20,0.0159
2012-04-27,-0.0271
2012-05-04,-0.083
2012-05-11,0.0833
2012-05-18,0.4233
2012-05-25,0.3339
2012-06-01,0.4292
2012-06-08,0.4024
2012-06-15,0.1902
2012-06-22,0.03
2012-06-29,0.0964
2012-07-06,0.0107
2012-07-13,0.1101
2012-07-20,-0.0469
2012-07-27,0.0864
2012-08-03,-0.153
2012-08-10,-0.1946
2012-08-17,-0.1291
2012-08-24,-0.1785
2012-08-31,-0.0892
2012-09-07,-0.2173
2012-09-14,-0.4933
2012-09-21,-0.542
2012-09-28,-0.2346
2012-10-05,-0.4493
2012-10-12,-0.4834
2012-10-19,-0.6191
2012-10-26,-0.3676
2012-11-02,-0.3537
2012-11-09,-0.3282
2012-11-16,-0.2167
2012-11-23,-0.5528
2012-11-30,-0.496
2012-12-07,-0.5388
2012-12-14,-0.5982
2012-12-21,-0.5841
2012-12-28,-0.3866
2013-01-04,-0.6485
2013-01-11,-0.6343
2013-01-18,-0.6495
2013-01-25,-0.6821
2013-02-01,-0.5894
2013-02-08,-0.5488
2013-02-15,-0.6834
2013-02-22,-0.6404
2013-03-01,-0.5273
2013-03-08,-0.767
2013-03-15,-0.8026
2013-03-22,-0.5913
2013-03-29,-0.6456
2013-04-05,-0.5675
2013-04-12,-0.7369
2013-04-19,-0.5081
2013-04-26,-0.7018
2013-05-03,-0.6805
2013-05-10,-0.7843
2013-05-17,-0.6331
2013-05-24,-0.5518
2013-05-31,-0.392
2013-06-07,-0.1144
2013-06-14,-0.1752
2013-06-21,-0.1484
2013-06-28,0.0371
2013-07-05,-0.1736
2013-07-12,-0.3341
2013-07-19,-0.5296
2013-07-26,-0.51
2013-08-02,-0.3885
2013-08-09,-0.4308
2013-08-16,-0.3967
2013-08-23,-0.2235
2013-08-30,-0.1928
2013-09-06,-0.2795
2013-09-13,-0.3509
2013-09-20,-0.4674
2013-09-27,-0.3649
2013-10-04,-0.2853
2013-10-11,-0.4165
2013-10-18,-0.5766
2013-10-25,-0.5958
2013-11-01,-0.5504
2013-11-08,-0.5357
2013-11-15,-0.5888
2013-11-22,-0.6632
2013-11-29,-0.5974
2013-12-06,-0.4794
2013-12-13,-0.5244
2013-12-20,-0.5874
2013-12-27,-0.6985
2014-01-03,-0.5818
2014-01-10,-0.6576
2014-01-17,-0.6609
2014-01-24,-0.5484
2014-01-31,-0.3595
2014-02-07,-0.3837
2014-02-14,-0.7159
2014-02-21,-0.6001
2014-02-28,-0.6778
2014-03-07,-0.6511
2014-03-14,-0.5873
2014-03-21,-0.6341
2014-03-28,-0.6536
2014-04-04,-0.6447
2014-04-11,-0.5434
2014-04-18,-0.6366
2014-04-25,-0.743
2014-05-02,-0.6822
2014-05-09,-0.6861
2014-05-16,-0.7192
2014-05-23,-0.7257
2014-05-30,-0.7865
2014-06-06,-0.8008
2014-06-13,-0.82
2014-06-20,-0.8309
2014-06-27,-0.8186
2014-07-04,-0.7921
2014-07-11,-0.7405
2014-07-18,-0.6848
2014-07-25,-0.7106
2014-08-01,-0.5876
2014-08-08,-0.4193
2014-08-15,-0.6871
2014-08-22,-0.7458
2014-08-29,-0.6841
2014-09-05,-0.6335
2014-09-12,-0.541
2014-09-19,-0.5472
2014-09-26,-0.3799
2014-10-03,-0.3347
2014-10-10,-0.3146
2014-10-17,0.1269
2014-10-24,-0.4717
2014-10-31,-0.4964
2014-11-07,-0.4628
2014-11-14,-0.4519
2014-11-21,-0.3279
2014-11-28,-0.4251
2014-12-05,-0.3117
2014-12-12,-0.0367
2014-12-19,0.056
2014-12-26,-0.5044
2015-01-02,-0.1311
2015-01-09,0.1228
2015-01-16,0.1261
2015-01-23,-0.0429
2015-01-30,-0.0169
2015-02-06,-0.1966
2015-02-13,-0.2888
2015-02-20,-0.2702
2015-02-27,-0.2447
2015-03-06,-0.2925
2015-03-13,-0.1365
2015-03-20,-0.1575
2015-03-27,-0.2221
2015-04-03,-0.2074
2015-04-10,-0.3814
2015-04-17,-0.3705
2015-04-24,-0.4184
2015-05-01,-0.4006
2015-05-08,-0.3475
2015-05-15,-0.3168
2015-05-22,-0.314
2015-05-29,-0.2101
2015-06-05,-0.2212
2015-06-12,-0.2334
2015-06-19,-0.182
2015-06-26,-0.3381
2015-07-03,0.046
2015-07-10,-0.0352
2015-07-17,-0.3627
2015-07-24,-0.2046
2015-07-31,-0.115
2015-08-07,-0.1637
2015-08-14,-0.0719
2015-08-21,0.15
2015-08-28,0.6361
2015-09-04,0.257
2015-09-11,0.1526
2015-09-18,0.1675
