date,value
2014-08-01,-0.21
2014-09-01,0.47
2014-10-01,0.14
2014-11-01,0.73
2014-12-01,-0.05
2015-01-01,0.13
2015-02-01,-0.11
2015-03-01,-0.42
2015-04-01,-0.15
2015-05-01,-0.17
2015-06-01,0.08
2015-07-01,0.34
2015-08-01,-0.41
2015-09-01,-0.37
2015-10-01,-0.04
2015-11-01,-0.3
2015-12-01,-0.22
2016-01-01,0.28
2016-02-01,-0.29
2016-03-01,-0.44
2016-04-01,0.1
2016-05-01,-0.51
2016-06-01,0.16
2016-07-01,0.27
2016-08-01,-0.55
2016-09-01,-0.14
2016-10-01,-0.08
2016-11-01,-0.27
2016-12-01,0.14
2017-01-01,-0.05
2017-02-01,0.34
2017-03-01,0.08
2017-04-01,0.49
2017-05-01,-0.26
2017-06-01,0.13
2017-07-01,-0.01
2017-08-01,-0.31
2017-09-01,0.17
2017-10-01,0.65
2017-11-01,0.15
2017-12-01,0.27
2018-01-01,0.12
2018-02-01,0.88
2018-03-01,0.1
2018-04-01,0.34
2018-05-01,-0.15
2018-06-01,0.43
2018-07-01,0.13
2018-08-01,0.18
2018-09-01,0.17
2018-10-01,0.24
2018-11-01,0.22
2018-12-01,0.27
2019-01-01,-0.43
2019-02-01,-0.29
2019-03-01,-0.15
2019-04-01,-0.45
2019-05-01,-0.05
2019-06-01,-0.02
2019-07-01,-0.36
2019-08-01,0.1
2019-09-01,-0.45
2019-10-01,-0.71
2019-11-01,0.56
2019-12-01,-0.35
2020-01-01,-0.25
2020-02-01,0.16
2020-03-01,-4.19
2020-04-01,-16.74
2020-05-01,2.61
2020-06-01,4.11
2020-07-01,1.18
2020-08-01,0.79
2020-09-01,0.27
2020-10-01,0.83
2020-11-01,0.27
2020-12-01,0.52
2021-01-01,0.66
2021-02-01,-1.09
2021-03-01,1.71
2021-04-01,0.24
2021-05-01,0.29
2021-06-01,0.09
2021-07-01,0.53
2021-08-01,0.29
2021-09-01,-0.13
2021-10-01,0.76
2021-11-01,0.37
2021-12-01,-0.15
2022-01-01,0.69
2022-02-01,0.51
2022-03-01,0.44
2022-04-01,0.47
2022-05-01,0.01
2022-06-01,-0.19
2022-07-01,0.27
2022-08-01,0.0
2022-09-01,0.1
2022-10-01,-0.05
2022-11-01,-0.51
2022-12-01,-0.49
2023-01-01,0.23
2023-02-01,-0.19
2023-03-01,-0.19
2023-04-01,0.07
2023-05-01,-0.15
2023-06-01,-0.32
2023-07-01,0.12
2023-08-01,-0.16
2023-09-01,0.02
2023-10-01,-0.49
2023-11-01,0.03
2023-12-01,-0.15
2024-01-01,-0.3
2024-02-01,0.05
2024-03-01,0.15
2024-04-01,-0.23
2024-05-01,0.18
2024-06-01,0.05
2024-07-01,-0.34
2024-08-01,0.12
2024-09-01,-0.28
2024-10-01,-0.4
2024-11-01,-0.12
2024-12-01,0.15
2025-01-01,-0.03
2025-02-01,0.18
2025-03-01,-0.03
