,0
2014-07-01,0.4115331766778897
2014-08-01,0.5412045447451127
2014-09-01,0.6297190479585225
2014-10-01,0.7248782507226371
2014-11-01,0.7710640311022294
2014-12-01,0.7792212394314241
2015-01-01,0.7641133480721933
2015-02-01,0.6936693145097188
2015-03-01,0.6410827872508582
2015-04-01,0.6415869877370699
2015-05-01,0.6560885756488787
2015-06-01,0.6702176691535008
2015-07-01,0.6570941326966676
2015-08-01,0.6886133641448371
2015-09-01,0.6766611727893567
2015-10-01,0.7254020504067302
2015-11-01,0.686943599115547
2015-12-01,0.7336498973068217
2016-01-01,0.6631166771597083
2016-02-01,0.5351753073996556
2016-03-01,0.45504827510295226
2016-04-01,0.4636575115270261
2016-05-01,0.39624334003819883
2016-06-01,0.3525934488339269
2016-07-01,0.275182246983722
2016-08-01,0.12902258625667332
2016-09-01,0.00754715159350103
2016-10-01,-0.12006965937833962
2016-11-01,-0.23981059561313578
2016-12-01,-0.28756120276656294
2017-01-01,-0.4498016564890996
2017-02-01,-0.4685248007915313
2017-03-01,-0.41978886582809866
2017-04-01,-0.5515610170941883
2017-05-01,-0.6517740383985471
2017-06-01,-0.7516689842780827
2017-07-01,-0.9302304373393973
2017-08-01,-1.1076228350359383
2017-09-01,-1.1730494441411252
2017-10-01,-1.1993050679475226
2017-11-01,-1.2665818558562714
2017-12-01,-1.3476265429041134
2018-01-01,-1.4172268480590184
2018-02-01,-1.3422423717676357
2018-03-01,-1.3236135773281967
2018-04-01,-1.284032395894865
2018-05-01,-1.2223197225826294
2018-06-01,-1.1027481651319067
2018-07-01,-0.9821191815219728
2018-08-01,-0.7764614753469172
2018-09-01,-0.5812883156675296
2018-10-01,-0.34177029407312154
2018-11-01,-0.07832960104149107
2018-12-01,0.17949892842106882
2019-01-01,0.5500753610930074
2019-02-01,0.792961813921031
2019-03-01,1.0063330147724843
2019-04-01,1.0674000909610704
2019-05-01,1.0542585526299388
2019-06-01,0.9878096063697158
2019-07-01,0.879544136305251
2019-08-01,0.7370066040703179
2019-09-01,0.3662876747409584
2019-10-01,-0.056280967607997064
2019-11-01,-0.6235763534008991
2019-12-01,-1.299164051571271
2020-01-01,-1.9582959795626735
2020-02-01,-2.5444597141076577
2020-03-01,-3.427760534948677
2020-04-01,-4.243476987162463
2020-05-01,-1.960737692963495
2020-06-01,-0.6938721898646353
2020-07-01,-0.023904519209253943
2020-08-01,0.41947280019321853
2020-09-01,0.5027815498739802
2020-10-01,0.3473808043576777
2020-11-01,0.02809422529078228
2020-12-01,-0.20276503636434534
2021-01-01,-0.3922237083540863
2021-02-01,-0.616343894112798
2021-03-01,-0.3968651476060686
2021-04-01,-0.6458980195646077
2021-05-01,-0.7111031082907262
2021-06-01,-0.7435874133563629
2021-07-01,-0.7744836477206375
2021-08-01,-0.8724917252194487
2021-09-01,-0.9720200917217356
2021-10-01,-1.0735317028317464
2021-11-01,-1.2148398011180899
2021-12-01,-1.4305316927174323
2022-01-01,-1.6517267537323237
2022-02-01,-1.5701415045253788
2022-03-01,-1.4867737832387256
2022-04-01,-1.3120861877955103
2022-05-01,-1.2276835900757408
2022-06-01,-1.0100655948289652
2022-07-01,-0.5839832323862301
2022-08-01,-0.23557183260238407
2022-09-01,0.05908907230557616
2022-10-01,0.36536509266215794
2022-11-01,0.6598565707027402
2022-12-01,0.9633543044222979
2023-01-01,1.2743190006038723
2023-02-01,1.503876544091904
2023-03-01,1.621527111135146
2023-04-01,1.6967534834287847
2023-05-01,1.6929957075995294
2023-06-01,1.6003324374176422
2023-07-01,1.4719707319641746
2023-08-01,1.3486647437324177
2023-09-01,1.3265753174675723
2023-10-01,1.3322098880831759
2023-11-01,1.404350632102479
2023-12-01,1.4402577670101717
2024-01-01,1.3954331812879728
2024-02-01,1.3953747115132644
2024-03-01,1.3133343767570131
2024-04-01,1.3193373817553409
2024-05-01,1.2932695555948448
2024-06-01,1.196716500304749
2024-07-01,1.1341230744764539
2024-08-01,0.9766838174303824
2024-09-01,0.7521211482266318
2024-10-01,0.5653408538503026
2024-11-01,0.3453559415019491
2024-12-01,0.14627375914730106
2025-01-01,-0.13518352212268464
2025-02-01,-0.288261602316025
2025-03-01,-0.2631352721612954
