"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"gamma201",-1.830942,0.454283,-4.030397,0.000056,"Financial VIX"
"beta201",0.001074,0.150858,0.007121,0.994318,"Financial VIX"
"m201",6.439332,0.115303,55.84693,0,"Financial VIX"
"theta201",0.115333,0.003278,35.184318,0,"Financial VIX"
"w2201",1.001,0.106238,9.422206,0,"Financial VIX"
"alpha202",0.040556,0.005898,6.876561,0,"Financial VXN"
"gamma202",-3.62144,0.110231,-32.853313,0,"Financial VXN"
"beta202",0.001063,0.135891,0.007819,0.993761,"Financial VXN"
"m202",6.35164,0.09652,65.806455,0,"Financial VXN"
"theta202",0.095648,0.002795,34.224424,0,"Financial VXN"
"w2202",1.001,0.136925,7.310547,0,"Financial VXN"
"alpha203",0.000173,0.000007,26.603814,0,"Financial TermSpread"
"gamma203",-0.055499,0.01961,-2.830113,0.004653,"Financial TermSpread"
"beta203",0.997635,0.000124,8045.042543,0,"Financial TermSpread"
"m203",7.079751,0.268815,26.336903,0,"Financial TermSpread"
"theta203",1.628387,0.21432,7.597932,0,"Financial TermSpread"
"w2203",1.538303,0.496695,3.097078,0.001954,"Financial TermSpread"
"alpha204",0.00018,0.000007,27.250504,0,"Financial NewOrders"
"gamma204",-0.03903,0.046692,-0.835917,0.403202,"Financial NewOrders"
"beta204",0.997849,0.000288,3464.224454,0,"Financial NewOrders"
"m204",7.242321,0.894549,8.096055,0,"Financial NewOrders"
"theta204",-0.030721,0.004834,-6.355694,0,"Financial NewOrders"
"w2204",1.511978,0.225577,6.702707,0,"Financial NewOrders"
"alpha205",0.05289,0.017433,3.033809,0.002415,"Financial DefaultSpread"
"gamma205",-2.698854,0.568775,-4.74503,0.000002,"Financial DefaultSpread"
"beta205",0.001062,0.331679,0.003202,0.997445,"Financial DefaultSpread"
"m205",6.967739,0.307938,22.627086,0,"Financial DefaultSpread"
"theta205",0.2541,0.007096,35.807391,0,"Financial DefaultSpread"
"w2205",1.001,0.111651,8.965412,0,"Financial DefaultSpread"
"alpha206",0.0001,0.000019,5.25977,0,"Financial EquityVolMeasure"
"gamma206",-0.107193,0.045096,-2.377012,0.017454,"Financial EquityVolMeasure"
"beta206",0.997411,0.000111,8945.644426,0,"Financial EquityVolMeasure"
"m206",7.439202,0.25897,28.726158,0,"Financial EquityVolMeasure"
"theta206",-1.499852,0.338824,-4.426647,0.00001,"Financial EquityVolMeasure"
"w2206",1.001,1.527725,0.655222,0.512325,"Financial EquityVolMeasure"
"alpha207",0.000144,0.000006,25.8244,0,"Financial RecessionSpread"
"gamma207",0.000127,0.000066,1.932307,0.053322,"Financial RecessionSpread"
"beta207",0.998793,0.000042,23572.032154,0,"Financial RecessionSpread"
"m207",8.636662,0.053239,162.223104,0,"Financial RecessionSpread"
"theta207",8.795804,0.157422,55.873873,0,"Financial RecessionSpread"
"w2207",1.033899,0.05476,18.880376,0,"Financial RecessionSpread"
"alpha208",0.000179,0.000008,22.593101,0,"Financial CitiSurprise"
"gamma208",-0.04286,0.030907,-1.386768,0.165513,"Financial CitiSurprise"
"beta208",0.99776,0.000145,6903.26091,0,"Financial CitiSurprise"
"m208",7.228665,0.587027,12.314022,0,"Financial CitiSurprise"
"theta208",-0.008532,0.000944,-9.035384,0,"Financial CitiSurprise"
"w2208",2.388981,0.493326,4.842603,0.000001,"Financial CitiSurprise"
"alpha209",0.003711,0.006964,0.532816,0.594161,"Financial MOVE"
"gamma209",-1.384882,0.952668,-1.453688,0.146033,"Financial MOVE"
"beta209",0.881795,0.209936,4.200304,0.000027,"Financial MOVE"
"m209",5.652546,0.894088,6.322138,0,"Financial MOVE"
"theta209",0.02119,0.001311,16.164523,0,"Financial MOVE"
"w2209",1.001,1.012966,0.988187,0.323061,"Financial MOVE"
