"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"beta82",0.997432,0.000044,22453.521918,0,"MidCap CitiSurprise"
"m82",13.432993,0.013727,978.605497,0,"MidCap CitiSurprise"
"theta82",-0.004236,0.000828,-5.115572,0,"MidCap CitiSurprise"
"w282",5.140928,2.333672,2.202935,0.027599,"MidCap CitiSurprise"
"alpha83",0.000689,0.00004,17.308255,0,"MidCap MOVE"
"gamma83",0.025264,0.000914,27.626481,0,"MidCap MOVE"
"beta83",0.98568,0.000513,1922.529555,0,"MidCap MOVE"
"m83",12.692843,0.11037,115.002871,0,"MidCap MOVE"
"theta83",0.024337,0.000725,33.548376,0,"MidCap MOVE"
"w283",1.844302,0.165455,11.146872,0,"MidCap MOVE"
"alpha84",0.023081,0.007769,2.971081,0.002968,"RealEstate HousingStart"
"gamma84",-0.50161,0.098996,-5.06698,0,"RealEstate HousingStart"
"beta84",0.001175,0.325653,0.003609,0.997121,"RealEstate HousingStart"
"m84",7.312359,0.085135,85.891804,0,"RealEstate HousingStart"
"theta84",-0.099147,0.005768,-17.187862,0,"RealEstate HousingStart"
"w284",1.001,0.108979,9.185277,0,"RealEstate HousingStart"
"alpha85",0.024465,0.003344,7.315866,0,"RealEstate IndProd"
"gamma85",0.017282,0.101211,0.170748,0.864422,"RealEstate IndProd"
"beta85",0.00128,0.124152,0.010314,0.991771,"RealEstate IndProd"
"m85",7.637769,0.083633,91.325173,0,"RealEstate IndProd"
"theta85",-0.319775,0.026233,-12.189642,0,"RealEstate IndProd"
"w285",1.001,0.177437,5.641434,0,"RealEstate IndProd"
"alpha86",0.01254,0.053369,0.234972,0.81423,"RealEstate CoreInflation"
"gamma86",-0.872934,1.515883,-0.575859,0.564711,"RealEstate CoreInflation"
"beta86",0.001538,5.607285,0.000274,0.999781,"RealEstate CoreInflation"
"m86",7.54014,2.467601,3.055657,0.002246,"RealEstate CoreInflation"
"theta86",-0.01115,0.014246,-0.782704,0.433801,"RealEstate CoreInflation"
"w286",1.001001,5.837054,0.171491,0.863838,"RealEstate CoreInflation"
"alpha87",0.0001,0.000026,3.824575,0.000131,"RealEstate PPI"
"gamma87",-0.033491,0.004495,-7.450948,0,"RealEstate PPI"
"beta87",0.994508,0.000399,2492.690232,0,"RealEstate PPI"
"m87",6.485018,0.096383,67.284046,0,"RealEstate PPI"
"theta87",-0.017466,0.012085,-1.445191,0.148404,"RealEstate PPI"
"w287",5.027782,6.725136,0.747611,0.454695,"RealEstate PPI"
"alpha88",0.024468,0.011384,2.149331,0.031608,"RealEstate GDP"
"gamma88",0.876766,0.347141,2.52568,0.011547,"RealEstate GDP"
"beta88",0.377466,0.288557,1.308115,0.190834,"RealEstate GDP"
"m88",9.890335,0.21438,46.134623,0,"RealEstate GDP"
"theta88",-1.430445,0.124799,-11.46196,0,"RealEstate GDP"
"w288",1.360328,0.158332,8.591634,0,"RealEstate GDP"
"alpha89",0.0001,0.000032,3.118159,0.00182,"RealEstate UMich"
"gamma89",-0.727194,0.079923,-9.098654,0,"RealEstate UMich"
"beta89",0.823527,0.032364,25.446128,0,"RealEstate UMich"
"m89",6.881898,0.097919,70.281397,0,"RealEstate UMich"
"theta89",-0.216776,0.019623,-11.047167,0,"RealEstate UMich"
"w289",1.204123,0.15163,7.941177,0,"RealEstate UMich"
"alpha90",0.0001,0.000032,3.118159,0.00182,"RealEstate UMich"
"gamma90",-0.727194,0.079923,-9.098654,0,"RealEstate UMich"
"beta90",0.823527,0.032364,25.446128,0,"RealEstate UMich"
"m90",6.881898,0.097919,70.281397,0,"RealEstate UMich"
"theta90",-0.216776,0.019623,-11.047167,0,"RealEstate UMich"
"w290",1.204123,0.15163,7.941177,0,"RealEstate UMich"
"alpha91",0.0001,0.000043,2.305565,0.021135,"RealEstate GEPU"
"gamma91",-0.504747,0.247343,-2.040675,0.041283,"RealEstate GEPU"
"beta91",0.986503,0.00486,202.997662,0,"RealEstate GEPU"
"m91",4.972889,0.571063,8.708129,0,"RealEstate GEPU"
"theta91",-0.023917,0.055286,-0.432608,0.6653,"RealEstate GEPU"
"w291",1.001003,3.067663,0.326308,0.744191,"RealEstate GEPU"
"alpha92",0.002832,0.001406,2.014069,0.044002,"RealEstate GPR"
"gamma92",-1.616758,0.077814,-20.777211,0,"RealEstate GPR"
"beta92",0.001483,0.033703,0.044011,0.964896,"RealEstate GPR"
"m92",7.568325,0.027562,274.593741,0,"RealEstate GPR"
"theta92",0.126849,0.008942,14.185778,0,"RealEstate GPR"
"w292",1.057218,0.062027,17.04453,0,"RealEstate GPR"
"alpha93",0.0001,0.000015,6.697947,0,"RealEstate BKK"
"gamma93",-0.04013,0.004346,-9.233573,0,"RealEstate BKK"
