"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"m129",12.022599,0.034861,344.872672,0,"Consumer PPI"
"theta129",0.08419,0.01044,8.063871,0,"Consumer PPI"
"w2129",1.001,0.243027,4.118886,3.8e-05,"Consumer PPI"
"alpha130",0.088635,0.08497,1.043133,0.296887,"Consumer GDP"
"gamma130",1.015022,0.98139,1.034269,0.30101,"Consumer GDP"
"beta130",0.162817,0.806286,0.201935,0.839967,"Consumer GDP"
"m130",13.126319,0.035889,365.750459,0,"Consumer GDP"
"theta130",-0.345581,0.043845,-7.881892,0,"Consumer GDP"
"w2130",1.001,0.213621,4.685865,3e-06,"Consumer GDP"
"alpha131",0.083563,0.041146,2.0309,0.042265,"Consumer UMich"
"gamma131",0.434147,0.052249,8.309234,0,"Consumer UMich"
"beta131",0.001222,0.491634,0.002485,0.998017,"Consumer UMich"
"m131",11.985539,0.1203,99.630605,0,"Consumer UMich"
"theta131",-0.206267,0.014759,-13.975756,0,"Consumer UMich"
"w2131",1.047225,0.076914,13.615541,0,"Consumer UMich"
"alpha132",0.000424,1.1e-05,39.662299,0,"Consumer StLouisStress"
"gamma132",0.003159,0.000111,28.349792,0,"Consumer StLouisStress"
"beta132",0.996996,7e-05,14263.853487,0,"Consumer StLouisStress"
"m132",12.326473,0.012049,1022.989587,0,"Consumer StLouisStress"
"theta132",0.28349,0.006602,42.936863,0,"Consumer StLouisStress"
"w2132",1.001089,0.091372,10.956242,0,"Consumer StLouisStress"
"alpha133",0.085413,0.007166,11.918754,0,"Consumer GEPU"
"gamma133",0.637131,0.098887,6.443007,0,"Consumer GEPU"
"beta133",0.001476,0.07877,0.018744,0.985045,"Consumer GEPU"
"m133",12.17941,0.075606,161.091324,0,"Consumer GEPU"
"theta133",0.016538,0.005799,2.851692,0.004349,"Consumer GEPU"
"w2133",2.15455,0.139555,15.438734,0,"Consumer GEPU"
"alpha134",0.077794,0.009135,8.516325,0,"Consumer GPR"
"gamma134",0.512119,0.137604,3.721677,0.000198,"Consumer GPR"
"beta134",0.001149,0.111793,0.010277,0.9918,"Consumer GPR"
"m134",12.24399,0.065937,185.691624,0,"Consumer GPR"
"theta134",0.118294,0.007104,16.652288,0,"Consumer GPR"
"w2134",1.189283,0.068382,17.391881,0,"Consumer GPR"
"alpha135",0.084592,0.025865,3.270594,0.001073,"Consumer BKK"
"gamma135",0.660028,0.26083,2.530494,0.01139,"Consumer BKK"
"beta135",0.001316,0.303628,0.004333,0.996543,"Consumer BKK"
"m135",12.195536,0.052127,233.958648,0,"Consumer BKK"
"theta135",0.037528,0.025,1.501122,0.133324,"Consumer BKK"
"w2135",1.001004,4.068206,0.246055,0.805639,"Consumer BKK"
"alpha136",0.099944,0.498383,0.200537,0.841061,"Consumer Unemployment"
"gamma136",0.790703,1.234264,0.640628,0.521765,"Consumer Unemployment"
"beta136",0.001304,4.993448,0.000261,0.999792,"Consumer Unemployment"
"m136",12.171452,2.705469,4.498833,7e-06,"Consumer Unemployment"
"theta136",2.972328,0.228955,12.982144,0,"Consumer Unemployment"
"w2136",1.001,0.200227,4.999321,1e-06,"Consumer Unemployment"
"alpha137",0.003028,0.000502,6.031438,0,"Consumer CFNAI"
"gamma137",0.045259,0.007882,5.741963,0,"Consumer CFNAI"
"beta137",0.971232,0.004722,205.675243,0,"Consumer CFNAI"
"m137",13.443896,0.128207,104.861062,0,"Consumer CFNAI"
"theta137",-0.629727,0.015383,-40.936178,0,"Consumer CFNAI"
"w2137",1.001,0.092389,10.83466,0,"Consumer CFNAI"
"alpha138",0.001013,0.000161,6.278616,0,"Consumer VIX"
"gamma138",0.01482,0.002881,5.143297,0,"Consumer VIX"
"beta138",0.990577,0.002062,480.322487,0,"Consumer VIX"
"m138",11.623393,0.105991,109.663926,0,"Consumer VIX"
"theta138",0.094445,0.004724,19.992436,0,"Consumer VIX"
"w2138",1.052084,0.181431,5.798822,0,"Consumer VIX"
"alpha139",0.001549,0.000381,4.066696,4.8e-05,"Consumer VXN"
"gamma139",0.029512,0.007603,3.881582,0.000104,"Consumer VXN"
"beta139",0.982507,0.004373,224.659629,0,"Consumer VXN"
"m139",11.792032,0.147693,79.841303,0,"Consumer VXN"
"theta139",0.101917,0.002779,36.679046,0,"Consumer VXN"
"w2139",1.001,0.097578,10.258419,0,"Consumer VXN"
"alpha140",0.08813,0.086796,1.015363,0.309933,"Consumer TermSpread"
"gamma140",0.707758,0.35086,2.01721,0.043674,"Consumer TermSpread"
"beta140",0.001909,0.984951,0.001938,0.998454,"Consumer TermSpread"
"m140",12.199736,0.340926,35.78412,0,"Consumer TermSpread"
"theta140",2.820368,0.085366,33.038398,0,"Consumer TermSpread"
"w2140",1.185554,0.069508,17.056342,0,"Consumer TermSpread"
"alpha141",0.088158,0.019619,4.493473,7e-06,"Consumer NewOrders"
"gamma141",0.682195,0.174922,3.900004,9.6e-05,"Consumer NewOrders"
"beta141",0.001437,0.219753,0.006539,0.994783,"Consumer NewOrders"
"m141",12.195831,0.022025,553.721123,0,"Consumer NewOrders"
"theta141",-0.017179,0.004043,-4.249432,2.1e-05,"Consumer NewOrders"
"w2141",1.001005,0.130753,7.655708,0,"Consumer NewOrders"
"alpha142",0.000478,1.2e-05,40.390314,0,"Consumer DefaultSpread"
"gamma142",0.003777,0.000137,27.583606,0,"Consumer DefaultSpread"
"beta142",0.996633,8.6e-05,11605.744151,0,"Consumer DefaultSpread"
"m142",11.642237,0.022422,519.228602,0,"Consumer DefaultSpread"
"theta142",0.131043,0.002976,44.035121,0,"Consumer DefaultSpread"
"w2142",1.025126,0.100317,10.218857,0,"Consumer DefaultSpread"
"alpha143",0.065516,0.003142,20.849398,0,"Consumer EquityVolMeasure"
"gamma143",-0.015998,0.190209,-0.084107,0.932971,"Consumer EquityVolMeasure"
"beta143",0.008764,0.032203,0.272159,0.7855,"Consumer EquityVolMeasure"
"m143",13.371265,0.031398,425.860445,0,"Consumer EquityVolMeasure"
"theta143",-3.426628,0.245277,-13.970462,0,"Consumer EquityVolMeasure"
"w2143",1.371676,0.098397,13.940194,0,"Consumer EquityVolMeasure"
"alpha144",0.078718,0.011387,6.912683,0,"Consumer RecessionSpread"
"gamma144",0.799675,0.178226,4.486871,7e-06,"Consumer RecessionSpread"
"beta144",0.001565,0.145461,0.010759,0.991415,"Consumer RecessionSpread"
"m144",12.159522,0.118899,102.267428,0,"Consumer RecessionSpread"
"theta144",3.401861,0.113603,29.945252,0,"Consumer RecessionSpread"
"w2144",1.580551,0.100823,15.676432,0,"Consumer RecessionSpread"
"alpha145",0.08208,0.028136,2.917202,0.003532,"Consumer CitiSurprise"
"gamma145",0.607521,0.112796,5.386016,0,"Consumer CitiSurprise"
"beta145",0.001241,0.320006,0.003879,0.996905,"Consumer CitiSurprise"
"m145",12.143065,0.208327,58.288437,0,"Consumer CitiSurprise"
"theta145",0.001648,0.001047,1.574126,0.115458,"Consumer CitiSurprise"
"w2145",1.001,0.817462,1.224522,0.220755,"Consumer CitiSurprise"
"alpha146",0.001282,0.000111,11.554692,0,"Consumer MOVE"
"gamma146",0.023307,0.00204,11.423131,0,"Consumer MOVE"
"beta146",0.986064,0.001119,881.21421,0,"Consumer MOVE"
"m146",11.870923,0.12421,95.571549,0,"Consumer MOVE"
"theta146",0.021327,0.00051,41.842399,0,"Consumer MOVE"
"w2146",1.591394,0.269905,5.896118,0,"Consumer MOVE"
"alpha147",0.01065,0.004175,2.55102,0.010741,"Materials HousingStart"
"gamma147",0.311474,0.122555,2.541498,0.011038,"Materials HousingStart"
"beta147",0.813993,0.071605,11.367848,0,"Materials HousingStart"
"m147",10.770681,0.367846,29.280388,0,"Materials HousingStart"
"theta147",-0.104924,0.004718,-22.237877,0,"Materials HousingStart"
"w2147",1.001,0.089196,11.222445,0,"Materials HousingStart"
"alpha148",0.002253,0.000508,4.432902,9e-06,"Materials IndProd"
"gamma148",0.0667,0.01613,4.135121,3.5e-05,"Materials IndProd"
"beta148",0.961263,0.008321,115.528844,0,"Materials IndProd"
"m148",11.171739,0.330787,33.773181,0,"Materials IndProd"
"theta148",-0.269407,0.0218,-12.358201,0,"Materials IndProd"
"w2148",1.001,0.152811,6.550591,0,"Materials IndProd"
"alpha149",0.001358,0.000217,6.260445,0,"Materials CoreInflation"
"gamma149",0.0376,0.007146,5.261654,0,"Materials CoreInflation"
"beta149",0.977259,0.003637,268.710277,0,"Materials CoreInflation"
"m149",10.852341,0.222981,48.669461,0,"Materials CoreInflation"
"theta149",-0.029092,0.004123,-7.055626,0,"Materials CoreInflation"
"w2149",4.338682,0.764106,5.678116,0,"Materials CoreInflation"
"alpha150",0.000232,8e-06,30.447957,0,"Materials PPI"
"gamma150",0.003687,0.000127,28.945558,0,"Materials PPI"
"beta150",0.996924,7.1e-05,13954.689597,0,"Materials PPI"
"m150",9.594032,0.01849,518.864861,0,"Materials PPI"
"theta150",-0.061216,0.007449,-8.218179,0,"Materials PPI"
"w2150",4.200925,0.174173,24.119212,0,"Materials PPI"
"alpha151",0.002539,0.000878,2.890225,0.00385,"Materials GDP"
"gamma151",0.067743,0.02454,2.760469,0.005772,"Materials GDP"
"beta151",0.961477,0.012448,77.23802,0,"Materials GDP"
"m151",12.051046,0.770004,15.650631,0,"Materials GDP"
"theta151",-0.649865,0.16724,-3.885817,0.000102,"Materials GDP"
"w2151",1.58419,0.245776,6.445655,0,"Materials GDP"
"alpha152",0.000229,8e-06,28.562138,0,"Materials UMich"
"gamma152",0.003598,0.000114,31.462008,0,"Materials UMich"
"beta152",0.996972,6.6e-05,15135.063944,0,"Materials UMich"
"m152",9.569882,0.022345,428.279931,0,"Materials UMich"
"theta152",0.171491,0.02595,6.608539,0,"Materials UMich"
"w2152",1.514963,0.104105,14.552292,0,"Materials UMich"
"alpha153",0.001897,0.000138,13.749203,0,"Materials StLouisStress"
"gamma153",0.054855,0.003642,15.063399,0,"Materials StLouisStress"
"beta153",0.969676,0.001884,514.681213,0,"Materials StLouisStress"
"m153",11.628191,0.206031,56.438962,0,"Materials StLouisStress"
"theta153",0.579442,0.015258,37.976749,0,"Materials StLouisStress"
"w2153",1.001,0.056944,17.578594,0,"Materials StLouisStress"
"alpha154",0.000194,1.4e-05,14.328346,0,"Materials GEPU"
"gamma154",0.003018,0.000248,12.159744,0,"Materials GEPU"
"beta154",0.997297,0.000135,7401.235494,0,"Materials GEPU"
"m154",9.502103,0.115004,82.623806,0,"Materials GEPU"
"theta154",-0.048485,0.044649,-1.085893,0.277527,"Materials GEPU"
"w2154",1.001,1.323779,0.756168,0.449548,"Materials GEPU"
"alpha155",0.041034,0.178941,0.229316,0.818623,"Materials GPR"
"gamma155",0.831174,3.446921,0.241135,0.80945,"Materials GPR"
"beta155",0.00132,4.358662,0.000303,0.999758,"Materials GPR"
"m155",9.828819,6.490914,1.514243,0.129964,"Materials GPR"
"theta155",0.14143,0.022387,6.317472,0,"Materials GPR"
"w2155",1.001,0.257396,3.888955,0.000101,"Materials GPR"
"alpha156",0.000171,6e-06,29.701389,0,"Materials BKK"
"gamma156",0.003115,0.000106,29.422443,0,"Materials BKK"
"beta156",0.997271,6.4e-05,15680.016059,0,"Materials BKK"
"m156",9.682881,0.023058,419.931681,0,"Materials BKK"
"theta156",0.237842,0.023939,9.935199,0,"Materials BKK"
"w2156",1.001,0.335959,2.979531,0.002887,"Materials BKK"
"alpha157",0.00985,0.022227,0.443126,0.657675,"Materials Unemployment"
"gamma157",0.297654,0.676854,0.439761,0.66011,"Materials Unemployment"
"beta157",0.832351,0.379748,2.191854,0.02839,"Materials Unemployment"
"m157",11.492596,0.306476,37.499142,0,"Materials Unemployment"
"theta157",3.924073,0.266433,14.728159,0,"Materials Unemployment"
"w2157",1.001,0.363453,2.75414,0.005885,"Materials Unemployment"
"alpha158",0.002265,0.000176,12.860912,0,"Materials CFNAI"
"gamma158",0.066558,0.004823,13.799684,0,"Materials CFNAI"
"beta158",0.963412,0.002524,381.697827,0,"Materials CFNAI"
"m158",11.588322,0.155644,74.453989,0,"Materials CFNAI"
"theta158",-0.900249,0.022977,-39.18032,0,"Materials CFNAI"
"w2158",1.001,0.121489,8.239443,0,"Materials CFNAI"
"alpha159",0.001759,0.000192,9.166897,0,"Materials VIX"
"gamma159",0.06004,0.006669,9.002294,0,"Materials VIX"
"beta159",0.967221,0.002589,373.577238,0,"Materials VIX"
"m159",9.469382,0.798752,11.855221,0,"Materials VIX"
"theta159",0.11897,0.013487,8.820926,0,"Materials VIX"
"w2159",1.23557,0.063359,19.501093,0,"Materials VIX"
"alpha160",0.001813,0.000162,11.162208,0,"Materials VXN"
"gamma160",0.072089,0.005365,13.436693,0,"Materials VXN"
"beta160",0.961143,0.002734,351.61215,0,"Materials VXN"
"m160",9.310725,0.216039,43.097406,0,"Materials VXN"
"theta160",0.126678,0.003125,40.542597,0,"Materials VXN"
"w2160",1.001,0.083728,11.955403,0,"Materials VXN"
"alpha161",0.000198,5e-06,36.66476,0,"Materials TermSpread"
"gamma161",0.003226,8.3e-05,39.065858,0,"Materials TermSpread"
"beta161",0.997189,5.6e-05,17740.147163,0,"Materials TermSpread"
"m161",9.593725,0.017175,558.600864,0,"Materials TermSpread"
"theta161",0.954009,0.096796,9.855866,0,"Materials TermSpread"
"w2161",44.657071,4.3e-05,1042276.981664,0,"Materials TermSpread"
"alpha162",0.001463,0.000111,13.139934,0,"Materials NewOrders"
"gamma162",0.039434,0.002857,13.800134,0,"Materials NewOrders"
"beta162",0.975991,0.00154,633.910533,0,"Materials NewOrders"
"m162",10.766208,0.076821,140.147339,0,"Materials NewOrders"
"theta162",-0.099745,0.007438,-13.40987,0,"Materials NewOrders"
"w2162",1.001001,0.094354,10.609019,0,"Materials NewOrders"
"alpha163",0.001792,0.000121,14.760394,0,"Materials DefaultSpread"
"gamma163",0.050999,0.003118,16.35727,0,"Materials DefaultSpread"
"beta163",0.971708,0.001693,573.855917,0,"Materials DefaultSpread"
"m163",9.937689,0.495673,20.048869,0,"Materials DefaultSpread"
"theta163",0.261789,0.015846,16.520423,0,"Materials DefaultSpread"
"w2163",1.167208,0.071038,16.430698,0,"Materials DefaultSpread"
"alpha164",0.025387,0.002106,12.052065,0,"Materials EquityVolMeasure"
"gamma164",0.096576,1.093968,0.08828,0.929654,"Materials EquityVolMeasure"
"beta164",0.001004,0.034773,0.028865,0.976972,"Materials EquityVolMeasure"
"m164",11.410565,0.689087,16.558967,0,"Materials EquityVolMeasure"
"theta164",-4.863615,0.325582,-14.938197,0,"Materials EquityVolMeasure"
"w2164",1.023112,0.076202,13.42634,0,"Materials EquityVolMeasure"
"alpha165",0.000184,6e-06,31.086992,0,"Materials RecessionSpread"
"gamma165",0.003443,9.8e-05,34.990969,0,"Materials RecessionSpread"
"beta165",0.997094,6.5e-05,15352.419026,0,"Materials RecessionSpread"
"m165",9.398387,0.035511,264.661333,0,"Materials RecessionSpread"
"theta165",5.769393,0.588034,9.811329,0,"Materials RecessionSpread"
"w2165",1.198766,0.100919,11.878538,0,"Materials RecessionSpread"
"alpha166",0.000195,5e-06,36.482827,0,"Materials CitiSurprise"
"gamma166",0.003106,8e-05,38.768721,0,"Materials CitiSurprise"
"beta166",0.997252,5.6e-05,17672.821161,0,"Materials CitiSurprise"
"m166",9.572338,0.018579,515.219682,0,"Materials CitiSurprise"
"theta166",-0.006282,0.001139,-5.513391,0,"Materials CitiSurprise"
"w2166",3.62565,1.28794,2.815076,0.004877,"Materials CitiSurprise"
"alpha167",0.000991,7.1e-05,13.927188,0,"Materials MOVE"
"gamma167",0.043823,0.002185,20.056106,0,"Materials MOVE"
"beta167",0.976098,0.001111,878.266214,0,"Materials MOVE"
"m167",9.081096,0.148989,60.951283,0,"Materials MOVE"
"theta167",0.027039,0.000548,49.30158,0,"Materials MOVE"
"w2167",1.001,0.132997,7.526482,0,"Materials MOVE"
