"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var."
"alpha38",0.033631,0.002808,11.97824,0,"MidCap EquityVolMeasure"
"gamma38",0.085015,0.235984,0.360259,0.718653,"MidCap EquityVolMeasure"
"beta38",0.001007,0.068529,0.0147,0.988272,"MidCap EquityVolMeasure"
"m38",14.715723,0.243216,60.504866,0,"MidCap EquityVolMeasure"
"theta38",-3.881298,0.270756,-14.335045,0,"MidCap EquityVolMeasure"
"w238",1.031962,0.074248,13.898917,0,"MidCap EquityVolMeasure"
"alpha39",0.000185,6e-06,29.689553,0,"MidCap RecessionSpread"
"gamma39",0.003276,5.4e-05,60.272694,0,"MidCap RecessionSpread"
"beta39",0.997177,4e-05,24737.276156,0,"MidCap RecessionSpread"
"m39",13.294676,0.015455,860.216679,0,"MidCap RecessionSpread"
"theta39",5.368343,0.192372,27.90602,0,"MidCap RecessionSpread"
"w239",1.327017,0.098243,13.507457,0,"MidCap RecessionSpread"
"alpha40",0.000197,6e-06,35.764131,0,"MidCap CitiSurprise"
"gamma40",0.002742,9.3e-05,29.506073,0,"MidCap CitiSurprise"
"beta40",0.997432,6.7e-05,14834.804284,0,"MidCap CitiSurprise"
"m40",13.433,0.024575,546.60644,0,"MidCap CitiSurprise"
"theta40",-0.004236,0.00075,-5.649924,0,"MidCap CitiSurprise"
"w240",5.141075,1.957307,2.626607,0.008624,"MidCap CitiSurprise"
"alpha41",0.000689,4.1e-05,16.916982,0,"MidCap MOVE"
"gamma41",0.025263,0.001008,25.061364,0,"MidCap MOVE"
"beta41",0.98568,0.000533,1850.80168,0,"MidCap MOVE"
"m41",12.692834,0.121772,104.234678,0,"MidCap MOVE"
"theta41",0.024337,0.000719,33.864609,0,"MidCap MOVE"
"w241",1.84431,0.155082,11.892517,0,"MidCap MOVE"
"alpha42",0.023081,0.005744,4.018333,5.9e-05,"RealEstate HousingStart"
"gamma42",-0.503177,0.595878,-0.844429,0.39843,"RealEstate HousingStart"
"beta42",0.001185,0.210919,0.005618,0.995517,"RealEstate HousingStart"
"m42",7.311713,0.221046,33.077842,0,"RealEstate HousingStart"
"theta42",-0.099148,0.005373,-18.454246,0,"RealEstate HousingStart"
"w242",1.001,0.098131,10.200602,0,"RealEstate HousingStart"
"alpha43",1e-04,1.7e-05,5.763972,0,"RealEstate IndProd"
"gamma43",-0.024649,0.003216,-7.66448,0,"RealEstate IndProd"
"beta43",0.995026,0.000603,1649.10497,0,"RealEstate IndProd"
"m43",6.539191,0.097466,67.091936,0,"RealEstate IndProd"
"theta43",-0.191498,0.014667,-13.056366,0,"RealEstate IndProd"
"w243",1.001,0.17734,5.644517,0,"RealEstate IndProd"
"alpha44",1e-04,1.3e-05,7.545629,0,"RealEstate CoreInflation"
"gamma44",-0.053772,0.007865,-6.836917,0,"RealEstate CoreInflation"
"beta44",0.994249,0.000419,2370.823878,0,"RealEstate CoreInflation"
"m44",6.146093,0.125345,49.033346,0,"RealEstate CoreInflation"
"theta44",-0.005211,0.001321,-3.945938,7.9e-05,"RealEstate CoreInflation"
"w244",1.003167,0.175942,5.701677,0,"RealEstate CoreInflation"
"alpha45",1e-04,2.9e-05,3.506078,0.000455,"RealEstate PPI"
"gamma45",-0.034344,0.004183,-8.210817,0,"RealEstate PPI"
"beta45",0.994501,0.000455,2186.107251,0,"RealEstate PPI"
"m45",6.466471,0.094219,68.632546,0,"RealEstate PPI"
"theta45",-0.017605,0.013101,-1.343754,0.179028,"RealEstate PPI"
"w245",4.811926,6.874472,0.69997,0.483946,"RealEstate PPI"
"alpha46",0.024469,0.005181,4.722483,2e-06,"RealEstate GDP"
"gamma46",0.87678,0.089676,9.777222,0,"RealEstate GDP"
"beta46",0.377459,0.128751,2.931688,0.003371,"RealEstate GDP"
"m46",9.890347,0.670714,14.745988,0,"RealEstate GDP"
"theta46",-1.430445,0.122003,-11.724665,0,"RealEstate GDP"
"w246",1.360328,0.157707,8.625692,0,"RealEstate GDP"
"alpha47",1e-04,0.002475,0.040414,0.967763,"RealEstate UMich"
"gamma47",-6.859437,4.341916,-1.579818,0.114149,"RealEstate UMich"
"beta47",0.001012,0.519884,0.001947,0.998446,"RealEstate UMich"
"m47",6.514964,0.855768,7.613004,0,"RealEstate UMich"
"theta47",-0.217913,0.020345,-10.710903,0,"RealEstate UMich"
"w247",1.23517,0.165445,7.465753,0,"RealEstate UMich"
"alpha48",0.003299,0.000433,7.626119,0,"RealEstate StLouisStress"
"gamma48",0.042131,0.008444,4.989424,1e-06,"RealEstate StLouisStress"
"beta48",0.974636,0.003751,259.806716,0,"RealEstate StLouisStress"
"m48",5.646338,0.12152,46.46443,0,"RealEstate StLouisStress"
"theta48",-0.988188,0.13715,-7.20518,0,"RealEstate StLouisStress"
"w248",42.278103,0.003918,10791.830445,0,"RealEstate StLouisStress"
"alpha49",1e-04,0.000534,0.187097,0.851585,"RealEstate GEPU"
"gamma49",-0.111893,0.333916,-0.335093,0.737555,"RealEstate GEPU"
"beta49",0.987393,0.047679,20.708988,0,"RealEstate GEPU"
"m49",6.269762,5.171911,1.212272,0.225408,"RealEstate GEPU"
"theta49",-0.020107,0.112423,-0.178847,0.858058,"RealEstate GEPU"
"w249",1.001023,5.936515,0.168621,0.866095,"RealEstate GEPU"
"alpha50",1e-04,5.7e-05,1.759778,0.078445,"RealEstate GPR"
"gamma50",-0.046191,0.018792,-2.457955,0.013973,"RealEstate GPR"
"beta50",0.993571,0.00258,385.168978,0,"RealEstate GPR"
"m50",6.52211,0.10298,63.333695,0,"RealEstate GPR"
"theta50",0.116486,0.005742,20.285125,0,"RealEstate GPR"
"w250",1.059388,0.058931,17.976774,0,"RealEstate GPR"
"alpha51",1e-04,5.7e-05,1.759778,0.078445,"RealEstate GPR"
"gamma51",-0.046191,0.018792,-2.457955,0.013973,"RealEstate GPR"
"beta51",0.993571,0.00258,385.168978,0,"RealEstate GPR"
"m51",6.52211,0.10298,63.333695,0,"RealEstate GPR"
"theta51",0.116486,0.005742,20.285125,0,"RealEstate GPR"
"w251",1.059388,0.058931,17.976774,0,"RealEstate GPR"
"alpha52",0.029662,0.01032,2.874212,0.00405,"RealEstate Unemployment"
"gamma52",0.573913,0.225605,2.543883,0.010963,"RealEstate Unemployment"
"beta52",0.134213,0.303853,0.441705,0.658702,"RealEstate Unemployment"
"m52",7.648124,0.157176,48.659595,0,"RealEstate Unemployment"
"theta52",5.729726,0.282385,20.290465,0,"RealEstate Unemployment"
"w252",1.001,0.152622,6.55867,0,"RealEstate Unemployment"
"alpha53",1e-04,1e-05,10.180973,0,"RealEstate CFNAI"
"gamma53",-0.006386,0.001666,-3.833585,0.000126,"RealEstate CFNAI"
"beta53",0.996934,0.000391,2551.983732,0,"RealEstate CFNAI"
"m53",6.543886,0.084844,77.128251,0,"RealEstate CFNAI"
"theta53",-0.696819,0.018931,-36.808412,0,"RealEstate CFNAI"
"w253",1.001,0.15623,6.407235,0,"RealEstate CFNAI"
"alpha54",0.020864,0.010425,2.001442,0.045345,"RealEstate VIX"
"gamma54",1.62309,0.647805,2.505521,0.012227,"RealEstate VIX"
"beta54",0.055623,0.465025,0.119614,0.904789,"RealEstate VIX"
"m54",5.31086,0.676422,7.851397,0,"RealEstate VIX"
"theta54",0.190657,0.003049,62.528269,0,"RealEstate VIX"
"w254",1.001,0.060075,16.662566,0,"RealEstate VIX"
"alpha55",0.012475,0.010775,1.157739,0.246971,"RealEstate VXN"
"gamma55",1.433707,1.310391,1.094106,0.273908,"RealEstate VXN"
"beta55",0.103424,0.75735,0.13656,0.891378,"RealEstate VXN"
"m55",4.975597,0.313636,15.864217,0,"RealEstate VXN"
"theta55",0.177284,0.002888,61.37583,0,"RealEstate VXN"
"w255",1.001,0.067306,14.872466,0,"RealEstate VXN"
"alpha56",1e-04,1.3e-05,7.813446,0,"RealEstate TermSpread"
"gamma56",-0.026652,0.003884,-6.862099,0,"RealEstate TermSpread"
"beta56",0.994975,0.000305,3264.142797,0,"RealEstate TermSpread"
"m56",6.488184,0.105416,61.548363,0,"RealEstate TermSpread"
"theta56",4.65922,0.763777,6.100236,0,"RealEstate TermSpread"
"w256",1.001,0.065352,15.317038,0,"RealEstate TermSpread"
"alpha57",0.021244,0.003735,5.687148,0,"RealEstate NewOrders"
"gamma57",-0.286946,0.074342,-3.859789,0.000113,"RealEstate NewOrders"
"beta57",0.001397,0.184263,0.007582,0.99395,"RealEstate NewOrders"
"m57",7.610584,0.054869,138.704863,0,"RealEstate NewOrders"
"theta57",-0.086859,0.009689,-8.9647,0,"RealEstate NewOrders"
"w257",1.001,0.158867,6.300866,0,"RealEstate NewOrders"
"alpha58",0.033084,0.053733,0.615706,0.538089,"RealEstate DefaultSpread"
"gamma58",1.539224,1.765714,0.871729,0.383356,"RealEstate DefaultSpread"
"beta58",0.001178,1.622026,0.000726,0.999421,"RealEstate DefaultSpread"
"m58",6.093658,1.873432,3.252671,0.001143,"RealEstate DefaultSpread"
"theta58",0.392535,0.007329,53.562594,0,"RealEstate DefaultSpread"
"w258",1.001,0.061436,16.293258,0,"RealEstate DefaultSpread"
"alpha59",0.023143,0.000545,42.448332,0,"RealEstate EquityVolMeasure"
"gamma59",-1.618472,0.242572,-6.672122,0,"RealEstate EquityVolMeasure"
"beta59",0.00101,0.005113,0.197627,0.843337,"RealEstate EquityVolMeasure"
"m59",9.230062,0.237317,38.893411,0,"RealEstate EquityVolMeasure"
"theta59",-4.943059,0.759534,-6.508013,0,"RealEstate EquityVolMeasure"
"w259",1.001,0.051701,19.361486,0,"RealEstate EquityVolMeasure"
"alpha60",1e-04,0.000383,0.261106,0.79401,"RealEstate RecessionSpread"
"gamma60",-0.474626,0.315831,-1.502782,0.132895,"RealEstate RecessionSpread"
"beta60",0.001726,0.374244,0.004612,0.99632,"RealEstate RecessionSpread"
"m60",7.212081,0.17133,42.094702,0,"RealEstate RecessionSpread"
"theta60",10.783138,0.543974,19.822891,0,"RealEstate RecessionSpread"
"w260",1.035445,0.048524,21.338608,0,"RealEstate RecessionSpread"
"alpha61",1e-04,1.1e-05,9.457894,0,"RealEstate CitiSurprise"
"gamma61",-0.024008,0.003652,-6.574165,0,"RealEstate CitiSurprise"
"beta61",0.995383,0.000161,6164.44004,0,"RealEstate CitiSurprise"
"m61",6.561921,0.104565,62.754533,0,"RealEstate CitiSurprise"
"theta61",-0.010572,0.001277,-8.281209,0,"RealEstate CitiSurprise"
"w261",1.816198,0.187967,9.662309,0,"RealEstate CitiSurprise"
"alpha62",0.001175,0.000131,8.975525,0,"RealEstate MOVE"
"gamma62",0.066621,0.007782,8.56046,0,"RealEstate MOVE"
"beta62",0.952894,0.004441,214.573793,0,"RealEstate MOVE"
"m62",4.923002,0.08287,59.406444,0,"RealEstate MOVE"
"theta62",0.0351,0.000524,66.928297,0,"RealEstate MOVE"
"w262",1.001,0.100439,9.96623,0,"RealEstate MOVE"
"alpha63",0.006091,0.002901,2.099237,0.035796,"Healthcare HousingStart"
"gamma63",0.116253,0.057104,2.035808,0.04177,"Healthcare HousingStart"
"beta63",0.909353,0.042985,21.154941,0,"Healthcare HousingStart"
"m63",12.914937,0.081191,159.069029,0,"Healthcare HousingStart"
"theta63",-0.065721,0.002076,-31.654591,0,"Healthcare HousingStart"
"w263",1.001,0.079117,12.652148,0,"Healthcare HousingStart"
"alpha64",0.000235,1e-05,23.073719,0,"Healthcare IndProd"
"gamma64",0.002381,0.000276,8.616768,0,"Healthcare IndProd"
"beta64",0.997574,0.000181,5502.716013,0,"Healthcare IndProd"
"m64",12.45357,0.063369,196.523445,0,"Healthcare IndProd"
"theta64",-0.025911,0.011586,-2.23638,0.025327,"Healthcare IndProd"
"w264",1.001003,5.188989,0.192909,0.84703,"Healthcare IndProd"
"alpha65",0.000235,5e-06,44.259417,0,"Healthcare CoreInflation"
"gamma65",0.002393,4.2e-05,57.390339,0,"Healthcare CoreInflation"
