"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"alpha132",0.007021,0.001661,4.227034,2.4e-05,"SP100 StLouisStress",14.8624714797888
"gamma132",0.105235,0.025162,4.182305,2.9e-05,"SP100 StLouisStress",0.268473297429515
"beta132",0.934517,0.015466,60.425332,0,"SP100 StLouisStress",0.0399017672613102
"m132",14.109125,0.21843,64.593386,0,"SP100 StLouisStress",63091.310293
"theta132",0.412843,0.007834,52.699265,0,"SP100 StLouisStress",63129.2432
"w2132",1.001,0.118612,8.439314,0,"SP100 StLouisStress",-31539.6551466884
"alpha133",0.091513,0.033392,2.740573,0.006133,"SP100 GEPU",0.0875031755049007
"gamma133",0.636954,0.578013,1.101972,0.270474,"SP100 GEPU",0.173359474887414
"beta133",0.0013,0.367115,0.00354,0.997175,"SP100 GEPU",0.000151695045565108
"m133",12.53758,0.298999,41.931849,0,"SP100 GEPU",63347.771039
"theta133",-0.00942,0.006734,-1.398863,0.161854,"SP100 GEPU",63385.703946
"w2133",1.001014,0.410474,2.438678,0.014741,"SP100 GEPU",-31667.8855195408
"alpha134",0.086198,0.009484,9.089014,0,"SP100 GPR",12.8475907286718
"gamma134",0.524247,0.091798,5.710844,0,"SP100 GPR",0.189420136304438
"beta134",0.001167,0.104779,0.011142,0.99111,"SP100 GPR",0.0243359238700865
"m134",12.642102,0.036738,344.117969,0,"SP100 GPR",63293.217337
"theta134",0.121313,0.007709,15.73658,0,"SP100 GPR",63331.150244
"w2134",1.037959,0.064473,16.099165,0,"SP100 GPR",-31640.6086686459
"alpha135",0.089514,0.173017,0.517369,0.604899,"SP100 BKK",1.03574799610181
"gamma135",0.697403,0.665679,1.047657,0.294797,"SP100 BKK",0.175642321062082
"beta135",0.001379,1.921252,0.000718,0.999427,"SP100 BKK",0.00181921182070721
"m135",12.635685,0.619425,20.399063,0,"SP100 BKK",63339.678351
"theta135",0.100459,0.052981,1.896112,0.057945,"SP100 BKK",63377.611258
"w2135",1.001001,2.929032,0.341751,0.732538,"SP100 BKK",-31663.8391757066
"alpha136",0.101254,0.096014,1.05458,0.291617,"SP100 Unemployment",15.9718761809655
"gamma136",0.893858,0.871919,1.025161,0.305287,"SP100 Unemployment",0.259890572311319
"beta136",0.001205,0.949387,0.001269,0.998988,"SP100 Unemployment",0.0415094004155665
"m136",12.645663,0.142425,88.788254,0,"SP100 Unemployment",63195.978663
"theta136",2.795136,0.211381,13.223186,0,"SP100 Unemployment",63233.911569
"w2136",1.001,0.169283,5.913178,0,"SP100 Unemployment",-31591.9893313502
"alpha137",0.011074,0.009395,1.178694,0.23852,"SP100 CFNAI",15.6827793347888
"gamma137",0.16999,0.144935,1.172867,0.240849,"SP100 CFNAI",0.263658754561932
"beta137",0.892965,0.091648,9.743424,0,"SP100 CFNAI",0.0413490206748001
"m137",13.857395,0.154376,89.763957,0,"SP100 CFNAI",63084.764003
"theta137",-0.642668,0.015952,-40.288499,0,"SP100 CFNAI",63122.696909
"w2137",1.001,0.094789,10.560251,0,"SP100 CFNAI",-31536.3820014135
"alpha138",0.005497,0.000687,7.997596,0,"SP100 VIX",27.2603648833819
"gamma138",0.092773,0.011306,8.205307,0,"SP100 VIX",0.361567584130343
"beta138",0.946012,0.006509,145.342972,0,"SP100 VIX",0.0985646427339604
"m138",12.898148,0.113249,113.891853,0,"SP100 VIX",62914.089037
"theta138",0.100946,0.002187,46.16539,0,"SP100 VIX",62952.021943
"w2138",1.034686,0.065239,15.85991,0,"SP100 VIX",-31451.04451831
