"","Estimate","Std..Error","t.value","Pr...t.."
"w2120",1.413967,0.082477,17.143792,0
"alpha119",0.000986,0.000036,27.183876,0
"gamma119",0.006961,0.000459,15.178684,0
"beta119",0.994534,0.000263,3785.903807,0
"m119",16.786365,0.028461,589.799787,0
"theta119",0.131831,0.004073,32.369639,0
"w2119",1.001872,0.122845,8.155611,0
"alpha118",0.000502,0.000011,43.972982,0
"gamma118",0.002092,0.000071,29.407791,0
"beta118",0.997452,0.000054,18333.296895,0
"m118",16.93825,0.002302,7357.362146,0
"theta118",0.004458,0.002234,1.995734,0.045963
"w2118",19.277093,0.305088,63.185358,0
"alpha117",0.000496,0.000009,53.299989,0
"gamma117",0.002092,0.00005,41.639278,0
"beta117",0.997458,0.000041,24570.547329,0
"m117",16.918527,0.010623,1592.6043,0
"theta117",2.691081,0.085972,31.301839,0
"w2117",1.168577,0.124867,9.358552,0
"alpha116",0.002843,0.000508,5.593305,0
"gamma116",0.033315,0.006686,4.982791,0.000001
"beta116",0.978809,0.003909,250.374523,0
"m116",16.907337,0.243013,69.573763,0
"theta116",0.075104,0.002264,33.177082,0
"w2116",1.001,0.119929,8.346634,0
"alpha115",0.001861,0.000135,13.784971,0
"gamma115",0.019174,0.001356,14.143281,0
"beta115",0.987552,0.000886,1114.105004,0
"m115",16.86638,0.088549,190.475344,0
"theta115",0.08011,0.002652,30.208807,0
"w2115",1.061237,0.070756,14.998576,0
"alpha114",0.002817,0.000405,6.949547,0
"gamma114",0.027901,0.004194,6.652824,0
"beta114",0.980911,0.002821,347.669324,0
"m114",17.9741,0.077342,232.398885,0
"theta114",-0.542067,0.015665,-34.604384,0
"w2114",1.001,0.256277,3.905931,0.000094
"alpha113",0.133087,0.035547,3.743924,0.000181
"gamma113",0.801151,0.418647,1.913666,0.055663
"beta113",0.01515,0.258982,0.058499,0.953351
"m113",16.928837,0.331047,51.137338,0
"theta113",2.239961,0.057236,39.135384,0
"w2113",1.001,0.148647,6.734063,0
"alpha112",0.091867,0.010085,9.109464,0
"gamma112",0.69869,0.161182,4.334797,0.000015
"beta112",0.270693,0.077016,3.514783,0.00044
"m112",17.168004,0.207494,82.739832,0
"theta112",0.001842,0.013755,0.133951,0.893441
"w2112",30.394651,0.325345,93.422782,0
"alpha111",0.117903,0.00383,30.78447,0
"gamma111",0.543532,0.067269,8.079929,0
"beta111",0.001357,0.020515,0.066126,0.947278
"m111",16.921591,0.058039,291.554664,0
"theta111",0.117308,0.007,16.75876,0
"w2111",1.118463,0.054026,20.702296,0
"alpha110",0.091841,0.010494,8.751744,0
"gamma110",0.696807,0.070806,9.841104,0
"beta110",0.271202,0.080555,3.366684,0.000761
"m110",17.165046,0.010494,1635.696101,0
"theta110",0.00004,0.001869,0.021408,0.98292
"w2110",27.176618,0.053668,506.385618,0
"alpha109",0.000609,0.000025,23.95143,0
"gamma109",0.002878,0.000222,12.946624,0
"beta109",0.996952,0.000131,7625.556053,0
"m109",17.00003,0.0364,467.032154,0
"theta109",0.217843,0.018475,11.791052,0
"w2109",1.001,1.010752,0.990352,0.322002
"alpha108",0.125608,0.009612,13.067371,0
"gamma108",0.518361,0.048776,10.627436,0
"beta108",0.001959,0.073804,0.026546,0.978822
"m108",16.714237,0.036181,461.963141,0
"theta108",-0.136763,0.012621,-10.836084,0
"w2108",1.001003,0.154975,6.459145,0
"alpha107",0.008625,0.008477,1.017378,0.308974
"gamma107",0.084153,0.085456,0.984756,0.324744
"beta107",0.939865,0.060367,15.569136,0
"m107",18.26099,0.218265,83.664487,0
"theta107",-0.256764,0.037267,-6.889882,0
"w2107",1.001001,0.230809,4.33692,0.000014
"alpha106",0.120753,0.078311,1.541961,0.123083
"gamma106",0.569926,0.225974,2.522086,0.011666
"beta106",0.006303,0.640087,0.009847,0.992143
"m106",16.74102,0.102478,163.362531,0
"theta106",0.060795,0.026768,2.271209,0.023134
"w2106",1.001,1.020673,0.980725,0.326728
"alpha105",0.083275,0.004824,17.262434,0
"gamma105",0.695869,0.113654,6.122724,0
"beta105",0.346834,0.035738,9.704903,0
"m105",17.317369,0.177643,97.483864,0
"theta105",-0.00809,0.000949,-8.523018,0
"w2105",2.411448,0.436481,5.524746,0
"alpha104",0.088708,0.043225,2.052269,0.040144
"gamma104",0.737611,0.08751,8.428906,0
"beta104",0.313619,0.333855,0.939386,0.347533
"m104",17.319029,0.893326,19.387138,0
"theta104",-0.093509,0.010694,-8.744186,0
"w2104",1.001,0.399947,2.502831,0.01232
"alpha103",0.127404,0.365001,0.34905,0.727052
"gamma103",0.70057,1.439237,0.486765,0.626425
"beta103",0.038508,2.756509,0.01397,0.988854
