"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma120",0.738317,0.310211,2.380052,0.01731,"SP100 NewOrders",0.186534152220179
"beta120",0.001441,0.137537,0.010475,0.991642,"SP100 NewOrders",0.00268945176570398
"m120",12.61047,0.210902,59.793144,0,"SP100 NewOrders",63325.509102
"theta120",-0.03719,0.00455,-8.174323,0,"SP100 NewOrders",63363.442009
"w2120",1.029198,0.172501,5.966339,0,"SP100 NewOrders",-31656.7545512071
"alpha121",0.005871,0.000984,5.966302,0,"SP100 DefaultSpread",21.1699296304524
"gamma121",0.087136,0.014645,5.949992,0,"SP100 DefaultSpread",0.292393886236552
"beta121",0.946839,0.008811,107.459162,0,"SP100 DefaultSpread",0.0618995799600231
"m121",13.141252,0.144058,91.222248,0,"SP100 DefaultSpread",63018.912363
"theta121",0.19536,0.003878,50.380213,0,"SP100 DefaultSpread",63056.84527
"w2121",1.180609,0.079196,14.907444,0,"SP100 DefaultSpread",-31503.4561817378
"alpha122",0.05202,0.003234,16.08429,0,"SP100 EquityVolMeasure",189.30944239384
"gamma122",-0.48214,0.080146,-6.0158,0,"SP100 EquityVolMeasure",0.414736429311704
"beta122",0.001017,0.009114,0.111636,0.911112,"SP100 EquityVolMeasure",0.785135221734109
"m122",14.04829,0.103721,135.443099,0,"SP100 EquityVolMeasure",62684.405651
"theta122",-4.298301,0.232542,-18.48399,0,"SP100 EquityVolMeasure",62722.338558
"w2122",1.223207,0.083309,14.682815,0,"SP100 EquityVolMeasure",-31336.2028256549
"alpha123",0.088176,0.006293,14.01148,0,"SP100 RecessionSpread",5.58748080602594
"gamma123",0.879318,0.460397,1.90991,0.056145,"SP100 RecessionSpread",0.189218320390151
"beta123",0.0016,0.062037,0.025792,0.979423,"SP100 RecessionSpread",0.0105725373332843
"m123",12.537254,0.492528,25.45489,0,"SP100 RecessionSpread",63297.420571
"theta123",4.966375,0.372886,13.318747,0,"SP100 RecessionSpread",63335.353477
"w2123",1.481551,0.153317,9.663319,0,"SP100 RecessionSpread",-31642.7102853725
"alpha124",0.087511,0.009829,8.902877,0,"SP100 CitiSurprise",2.54089791835831
"gamma124",0.762246,0.169548,4.495748,7e-06,"SP100 CitiSurprise",0.176847437295763
"beta124",0.094151,0.097441,0.966237,0.333925,"SP100 CitiSurprise",0.00449351285291805
"m124",12.720046,0.138879,91.59062,0,"SP100 CitiSurprise",63337.72323
"theta124",-0.005529,0.001105,-5.004588,1e-06,"SP100 CitiSurprise",63375.656137
"w2124",1.42792,0.206952,6.899772,0,"SP100 CitiSurprise",-31662.8616151536
"alpha125",0.003717,0.000561,6.622416,0,"SP100 MOVE",32.6093541311303
"gamma125",0.075768,0.011067,6.846455,0,"SP100 MOVE",0.411348186819935
"beta125",0.954782,0.00615,155.240022,0,"SP100 MOVE",0.134137986952096
"m125",12.182259,0.351644,34.643764,0,"SP100 MOVE",62783.023166
"theta125",0.022321,0.000532,41.916868,0,"SP100 MOVE",62820.956073
"w2125",1.001,0.144058,6.948576,0,"SP100 MOVE",-31385.5115831581
"alpha126",0.097043,0.48583,0.199748,0.841678,"Consumer HousingStart",17.7687181627406
"gamma126",0.714528,2.765094,0.25841,0.796091,"Consumer HousingStart",0.200616810462975
"beta126",0.00125,5.009344,0.000249,0.999801,"Consumer HousingStart",0.0356470356382455
"m126",12.04402,0.747038,16.122366,0,"Consumer HousingStart",60807.041013
"theta126",-0.075893,0.002531,-29.98169,0,"Consumer HousingStart",60844.973919
"w2126",1.001,0.247323,4.047341,5.2e-05,"Consumer HousingStart",-30397.5205064024
"alpha127",0.090708,0.04722,1.920979,0.054734,"Consumer IndProd",4.10625993359491
"gamma127",0.738275,0.339824,2.172522,0.029816,"Consumer IndProd",0.128069405054519
"beta127",0.00133,0.51842,0.002565,0.997954,"Consumer IndProd",0.0052588626669471
"m127",12.227978,0.041429,295.153214,0,"Consumer IndProd",61021.768821
"theta127",-0.122158,0.009533,-12.813849,0,"Consumer IndProd",61059.701728
"w2127",1.001,0.180819,5.535931,0,"Consumer IndProd",-30504.8844106841
"alpha128",0.087978,0.325074,0.270642,0.786667,"Consumer CoreInflation",3.02660340723514
"gamma128",0.722731,1.504302,0.480443,0.630913,"Consumer CoreInflation",0.113123248247089
"beta128",0.001336,3.745999,0.000357,0.999716,"Consumer CoreInflation",0.00342379208582147
"m128",12.238527,1.073634,11.399166,0,"Consumer CoreInflation",61046.727048
"theta128",-0.011975,0.005213,-2.297088,0.021614,"Consumer CoreInflation",61084.659954
"w2128",1.001,5.547048,0.180456,0.856794,"Consumer CoreInflation",-30517.3635238179
"alpha129",0.076625,0.020468,3.743648,0.000181,"Consumer PPI",5.34362254654591
"gamma129",0.502989,0.088095,5.709614,0,"Consumer PPI",0.110202498884939
"beta129",0.001259,0.263438,0.004778,0.996188,"Consumer PPI",0.00588880557727261
"m129",12.022599,0.034861,344.872672,0,"Consumer PPI",61033.441108
"theta129",0.08419,0.01044,8.063871,0,"Consumer PPI",61071.374015
"w2129",1.001,0.243027,4.118886,3.8e-05,"Consumer PPI",-30510.7205540949
"alpha130",0.088635,0.08497,1.043133,0.296887,"Consumer GDP",14.6367838047535
"gamma130",1.015022,0.98139,1.034269,0.30101,"Consumer GDP",0.142059283710852
"beta130",0.162817,0.806286,0.201935,0.839967,"Consumer GDP",0.0207929102313388
"m130",13.126319,0.035889,365.750459,0,"Consumer GDP",61033.398711
"theta130",-0.345581,0.043845,-7.881892,0,"Consumer GDP",61071.331617
"w2130",1.001,0.213621,4.685865,3e-06,"Consumer GDP",-30510.6993555225
"alpha131",0.083563,0.041146,2.0309,0.042265,"Consumer UMich",6.47563222361058
"gamma131",0.434147,0.052249,8.309234,0,"Consumer UMich",0.129523240463846
"beta131",0.001222,0.491634,0.002485,0.998017,"Consumer UMich",0.00838744869654144
"m131",11.985539,0.1203,99.630605,0,"Consumer UMich",61017.185454
"theta131",-0.206267,0.014759,-13.975756,0,"Consumer UMich",61055.11836
"w2131",1.047225,0.076914,13.615541,0,"Consumer UMich",-30502.5927269359
"alpha132",0.000424,1.1e-05,39.662299,0,"Consumer StLouisStress",10.080142697214
"gamma132",0.003159,0.000111,28.349792,0,"Consumer StLouisStress",0.186651522540259
"beta132",0.996996,7e-05,14263.853487,0,"Consumer StLouisStress",0.0188147398185806
"m132",12.326473,0.012049,1022.989587,0,"Consumer StLouisStress",60760.180098
"theta132",0.28349,0.006602,42.936863,0,"Consumer StLouisStress",60798.113005
"w2132",1.001089,0.091372,10.956242,0,"Consumer StLouisStress",-30374.0900492194
"alpha133",0.085413,0.007166,11.918754,0,"Consumer GEPU",0.620786140487038
"gamma133",0.637131,0.098887,6.443007,0,"Consumer GEPU",0.105708634836994
"beta133",0.001476,0.07877,0.018744,0.985045,"Consumer GEPU",0.000656224554366113
"m133",12.17941,0.075606,161.091324,0,"Consumer GEPU",61064.008378
"theta133",0.016538,0.005799,2.851692,0.004349,"Consumer GEPU",61101.941284
"w2133",2.15455,0.139555,15.438734,0,"Consumer GEPU",-30526.0041888625
"alpha134",0.077794,0.009135,8.516325,0,"Consumer GPR",17.6236947857124
"gamma134",0.512119,0.137604,3.721677,0.000198,"Consumer GPR",0.132492940230385
"beta134",0.001149,0.111793,0.010277,0.9918,"Consumer GPR",0.0233501513988193
"m134",12.24399,0.065937,185.691624,0,"Consumer GPR",60999.199362
"theta134",0.118294,0.007104,16.652288,0,"Consumer GPR",61037.132269
"w2134",1.189283,0.068382,17.391881,0,"Consumer GPR",-30493.5996811473
"alpha135",0.084592,0.025865,3.270594,0.001073,"Consumer BKK",0.240466536593248
"gamma135",0.660028,0.26083,2.530494,0.01139,"Consumer BKK",0.10557858198729
"beta135",0.001316,0.303628,0.004333,0.996543,"Consumer BKK",0.0002538811594891
"m135",12.195536,0.052127,233.958648,0,"Consumer BKK",61065.393463
"theta135",0.037528,0.025,1.501122,0.133324,"Consumer BKK",61103.32637
"w2135",1.001004,4.068206,0.246055,0.805639,"Consumer BKK",-30526.6967316926
"alpha136",0.099944,0.498383,0.200537,0.841061,"Consumer Unemployment",21.2707350467041
"gamma136",0.790703,1.234264,0.640628,0.521765,"Consumer Unemployment",0.220674199999728
"beta136",0.001304,4.993448,0.000261,0.999792,"Consumer Unemployment",0.046939024398376
"m136",12.171452,2.705469,4.498833,7e-06,"Consumer Unemployment",60888.865883
"theta136",2.972328,0.228955,12.982144,0,"Consumer Unemployment",60926.798789
"w2136",1.001,0.200227,4.999321,1e-06,"Consumer Unemployment",-30438.4329414173
"alpha137",0.003028,0.000502,6.031438,0,"Consumer CFNAI",18.7108965042731
"gamma137",0.045259,0.007882,5.741963,0,"Consumer CFNAI",0.212179036879207
"beta137",0.971232,0.004722,205.675243,0,"Consumer CFNAI",0.0397005999942318
"m137",13.443896,0.128207,104.861062,0,"Consumer CFNAI",60810.329009
"theta137",-0.629727,0.015383,-40.936178,0,"Consumer CFNAI",60848.261916
"w2137",1.001,0.092389,10.83466,0,"Consumer CFNAI",-30399.1645045741
"alpha138",0.001013,0.000161,6.278616,0,"Consumer VIX",28.2328905120745
"gamma138",0.01482,0.002881,5.143297,0,"Consumer VIX",0.305645011088403
"beta138",0.990577,0.002062,480.322487,0,"Consumer VIX",0.0862924213362067
"m138",11.623393,0.105991,109.663926,0,"Consumer VIX",60599.787852
"theta138",0.094445,0.004724,19.992436,0,"Consumer VIX",60637.720758
"w2138",1.052084,0.181431,5.798822,0,"Consumer VIX",-30293.8939258126
"alpha139",0.001549,0.000381,4.066696,4.8e-05,"Consumer VXN",26.0921819713966
"gamma139",0.029512,0.007603,3.881582,0.000104,"Consumer VXN",0.370843917690093
"beta139",0.982507,0.004373,224.659629,0,"Consumer VXN",0.0967612698335552
"m139",11.792032,0.147693,79.841303,0,"Consumer VXN",60633.344234
"theta139",0.101917,0.002779,36.679046,0,"Consumer VXN",60671.277141
"w2139",1.001,0.097578,10.258419,0,"Consumer VXN",-30310.6721172013
"alpha140",0.08813,0.086796,1.015363,0.309933,"Consumer TermSpread",5.30597395035591
"gamma140",0.707758,0.35086,2.01721,0.043674,"Consumer TermSpread",0.115865612779348
"beta140",0.001909,0.984951,0.001938,0.998454,"Consumer TermSpread",0.00614779923149247
"m140",12.199736,0.340926,35.78412,0,"Consumer TermSpread",61023.90135
"theta140",2.820368,0.085366,33.038398,0,"Consumer TermSpread",61061.834257
"w2140",1.185554,0.069508,17.056342,0,"Consumer TermSpread",-30505.9506750909
"alpha141",0.088158,0.019619,4.493473,7e-06,"Consumer NewOrders",0.523577814898557
"gamma141",0.682195,0.174922,3.900004,9.6e-05,"Consumer NewOrders",0.109521173181038
"beta141",0.001437,0.219753,0.006539,0.994783,"Consumer NewOrders",0.000573428565392543
"m141",12.195831,0.022025,553.721123,0,"Consumer NewOrders",61061.243304
"theta141",-0.017179,0.004043,-4.249432,2.1e-05,"Consumer NewOrders",61099.176211
"w2141",1.001005,0.130753,7.655708,0,"Consumer NewOrders",-30524.6216521124
"alpha142",0.000478,1.2e-05,40.390314,0,"Consumer DefaultSpread",14.1776808456486
"gamma142",0.003777,0.000137,27.583606,0,"Consumer DefaultSpread",0.19570002607635
"beta142",0.996633,8.6e-05,11605.744151,0,"Consumer DefaultSpread",0.0277457251119559
"m142",11.642237,0.022422,519.228602,0,"Consumer DefaultSpread",60718.659314
"theta142",0.131043,0.002976,44.035121,0,"Consumer DefaultSpread",60756.59222
"w2142",1.025126,0.100317,10.218857,0,"Consumer DefaultSpread",-30353.3296568428
"alpha143",0.065516,0.003142,20.849398,0,"Consumer EquityVolMeasure",161.092739276724
"gamma143",-0.015998,0.190209,-0.084107,0.932971,"Consumer EquityVolMeasure",0.312395143097425
"beta143",0.008764,0.032203,0.272159,0.7855,"Consumer EquityVolMeasure",0.503245893383085
"m143",13.371265,0.031398,425.860445,0,"Consumer EquityVolMeasure",60520.926742
"theta143",-3.426628,0.245277,-13.970462,0,"Consumer EquityVolMeasure",60558.859648
"w2143",1.371676,0.098397,13.940194,0,"Consumer EquityVolMeasure",-30254.4633710167
