,AAL,AAL,AAL,AAL,AAL,AAL,AAL,CAR,CAR,CAR,CAR,CAR,CAR,CAR,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,GNRC,ALB,ALB,ALB,ALB,ALB,ALB,ALB,BA,BA,BA,BA,BA,BA,BA
,CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL),CapEx,Assets,Variable Costs,Revenue,Net Income,CapEx / Sales,Operating Leverage (DOL)
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,680.0,29330.0,3373.0,4391.0,-111.0,0.1548622181735368,0.23183785014803007,2219.0,39037.0,2143.0,4344.0,288.0,0.5108195211786372,0.5066758747697975,,,,,,,,41.058,1387.291,209.147,295.124,16.788,0.13912118296038276,0.29132500237188447,741.0,53035.0,11228.0,13156.0,1132.0,0.05632411067193676,0.1465491030708422
2004-03-31,213.0,29950.0,3562.0,4512.0,-166.0,0.04720744680851064,0.21054964539007093,1917.0,39757.0,2049.0,3508.0,441.0,0.5464652223489168,0.41590649942987457,,,,,,,,8.398,1385.163,239.659,322.009,13.607,0.02608001639705722,0.2557381936529725,182.0,53800.0,10375.0,12903.0,623.0,0.014105246841819732,0.19592342866000154
2004-06-30,514.0,30001.0,3745.0,4830.0,6.0,0.10641821946169772,0.2246376811594203,3534.0,42403.0,2568.0,4395.0,691.0,0.8040955631399317,0.4156996587030717,,,,,,,,19.634,1381.081,238.935,326.759,20.768,0.06008709783051117,0.2687730100777638,294.0,54283.0,10531.0,13088.0,607.0,0.022463325183374083,0.195369804400978
2004-09-30,773.0,29261.0,3897.0,4762.0,-214.0,0.1623267534649307,0.18164636707265855,2706.0,41609.0,,4720.0,593.0,0.5733050847457627,,,,,,,,,37.602,2429.14,301.619,413.904,0.827,0.09084715296300591,0.2712827128996095,626.0,55388.0,10838.0,13152.0,456.0,0.04759732360097323,0.1759428223844282
2004-12-31,1027.0,28773.0,3916.0,4541.0,-387.0,0.22616163840563752,0.13763488218454084,3354.0,42555.0,5256.0,3913.0,357.0,0.8571428571428571,-0.3432149246102735,,,,,,,,57.652,2442.745,327.456,451.065,19.637,0.1278130646359172,0.27403810980679055,978.0,53963.0,11422.0,13314.0,186.0,0.07345651194231635,0.14210605377797808
2005-03-31,242.0,29167.0,3820.0,4750.0,-162.0,0.05094736842105263,0.1957894736842105,1571.0,34723.0,,,,,,,,,,,,,18.801,2503.374,373.598,509.965,24.319,0.0368672359867834,0.2674046258076534,307.0,56714.0,10028.0,12681.0,535.0,0.02420944720447914,0.20921063007649238
2005-06-30,484.0,29494.0,4158.0,5309.0,58.0,0.09116594462233943,0.2168016575626295,2765.0,36131.0,1276.0,2528.0,583.0,1.09375,0.495253164556962,,,,,,,,36.189,2525.927,368.94,502.754,32.058,0.0719815257561352,0.26616197981517803,787.0,56494.0,11647.0,14684.0,566.0,0.05359575047670934,0.2068237537455734
2005-09-30,586.0,29436.0,4428.0,5485.0,-153.0,0.10683682771194165,0.1927073837739289,2623.0,35427.0,759.0,1547.0,499.0,1.6955397543632837,0.5093729799612152,,,,,,,,50.594,2561.925,378.489,506.605,26.292,0.09986873402354891,0.2528913058497252,1074.0,58318.0,10047.0,12355.0,1011.0,0.08692836908134359,0.1868069607446378
2005-12-31,681.0,29495.0,4426.0,5168.0,-604.0,0.13177244582043343,0.14357585139318885,2936.0,34104.0,759.0,1325.0,536.0,2.2158490566037736,0.4271698113207547,,,,,,,,70.08,2547.243,445.639,588.175,32.198,0.11914821269180091,0.24233603944404294,1547.0,60058.0,11400.0,13901.0,460.0,0.1112869577728221,0.17991511402057406
2006-03-31,104.0,29918.0,4293.0,5344.0,-92.0,0.019461077844311378,0.19666916167664672,934.0,34823.0,712.0,1337.0,70.0,0.6985789080029918,0.4674644727000748,,,,,,,,21.018,2582.249,454.275,607.354,34.376,0.034605847660507706,0.2520424661729404,412.0,61408.0,11035.0,14264.0,692.0,0.028883903533370725,0.22637408861469432
2006-06-30,245.0,30752.0,4524.0,5975.0,291.0,0.04100418410041841,0.24284518828451881,1680.0,35170.0,740.0,1454.0,-1054.0,1.1554332874828062,0.49105914718019256,,,,,,,,49.012,2642.142,410.373,568.797,43.327,0.08616782437319465,0.2785246757630579,745.0,61269.0,12127.0,14986.0,-160.0,0.04971306552782597,0.19077805952222074
2006-09-30,348.0,30128.0,4605.0,5847.0,15.0,0.059517701385325805,0.2124166239096973,1089.0,14245.0,790.0,1567.0,-1013.0,0.6949585194639438,0.4958519463943842,,,,,,,,73.103,2612.707,431.241,607.818,2.289,0.12027119960251259,0.2905096591413877,1093.0,61458.0,11434.0,14739.0,694.0,0.07415699843951422,0.2242350227288147
2006-12-31,530.0,29145.0,4237.0,5397.0,17.0,0.09820270520659626,0.2149342227163239,653.0,13271.0,696.0,1331.0,3.0,0.4906085649887303,0.47708489857250186,,,,,,,,99.847,2530.368,408.853,584.537,62.977,0.1708138235902945,0.30055240301298297,1681.0,51794.0,13943.0,17541.0,989.0,0.0958326207171769,0.20511943446781825
2007-03-31,182.0,29884.0,4185.0,5427.0,81.0,0.03353602358577483,0.22885572139303484,1429.0,14075.0,725.0,1365.0,13.0,1.046886446886447,0.46886446886446886,,,87.728,139.506,-7.507,,0.37115249523318,26.241,2609.944,402.1,589.238,58.108,0.04453378770547724,0.3175932305791548,451.0,51556.0,11868.0,15365.0,877.0,0.02935242434103482,0.22759518385942076
2007-06-30,364.0,30410.0,4433.0,5879.0,317.0,0.06191529171627828,0.2459601973124681,2779.0,15376.0,798.0,1516.0,23.0,1.8331134564643798,0.4736147757255937,,,82.109,135.204,-8.859,,0.39270287861305886,49.981,2664.863,384.021,563.812,53.863,0.08864834377416586,0.3188846636822203,865.0,53886.0,13102.0,17028.0,1050.0,0.05079868451961475,0.23056142823584683
2007-09-30,515.0,29599.0,4583.0,5946.0,175.0,0.08661284897410024,0.22922973427514295,2810.0,14911.0,845.0,1719.0,104.0,1.6346713205351948,0.508435136707388,,,83.54,144.111,-2.398,,0.4203079570608766,71.262,2724.987,404.953,583.981,59.099,0.12202794268991628,0.30656476837431357,1282.0,54787.0,12796.0,16517.0,1114.0,0.0776170006659805,0.2252830417145971
2007-12-31,714.0,28571.0,4687.0,5644.0,-69.0,0.12650602409638553,0.16956059532246634,1863.0,12474.0,711.0,1386.0,-1056.0,1.344155844155844,0.487012987012987,13.191,1908.659,80.051,136.884,9.05,0.09636626632769353,0.4151909646123724,98.74,2830.45,415.767,599.156,58.62,0.16479848319970092,0.3060788842972447,1731.0,58986.0,14007.0,17477.0,1033.0,0.09904445843108085,0.19854666132631457
2008-03-31,217.0,28766.0,4841.0,5697.0,-341.0,0.03809022292434615,0.15025451992276637,1601.0,14063.0,786.0,1445.0,-12.0,1.1079584775086506,0.4560553633217993,,,69.879,112.367,-11.417,,0.37811813076793005,20.139,2975.395,474.224,668.177,63.261,0.030140217337621615,0.29027188903539036,409.0,60360.0,12181.0,15990.0,1211.0,0.02557848655409631,0.23821138211382115
2008-06-30,473.0,28925.0,5239.0,6179.0,-1461.0,0.07654960349571129,0.15212817608027188,2222.0,14392.0,818.0,1577.0,16.0,1.409004438807863,0.48129359543436906,,,78.628,124.183,-15.628,,0.3668376508861922,40.237,3069.164,430.269,620.75,61.655,0.06481997583568265,0.30685622231171966,807.0,58510.0,13523.0,16962.0,852.0,0.04757693668199505,0.20274731753330974
2008-09-30,687.0,26950.0,5525.0,6421.0,31.0,0.10699268026787105,0.13954212739448685,2067.0,12404.0,865.0,1701.0,-1007.0,1.215167548500882,0.4914756025867137,,,109.229,165.054,-13.144,,0.3382226422867668,63.467,3021.589,478.767,660.463,56.175,0.09609470931755451,0.27510398008669673,1229.0,56519.0,12137.0,15293.0,695.0,0.08036356502975217,0.20636892696004708
