Date,Instrument,Price Close
2010-01-13,.SPX,1145.68
2010-01-14,.SPX,1148.46
2010-01-15,.SPX,1136.03
2010-01-15,.SPX,1136.03
2010-01-19,.SPX,1150.23
2010-01-20,.SPX,1138.04
2010-01-21,.SPX,1116.48
2010-01-22,.SPX,1091.76
2010-01-25,.SPX,1096.78
2010-01-26,.SPX,1092.17
2010-01-27,.SPX,1097.5
2010-01-28,.SPX,1084.53
2010-01-29,.SPX,1073.87
2010-02-01,.SPX,1089.19
2010-02-02,.SPX,1103.32
2010-02-03,.SPX,1097.28
2010-02-04,.SPX,1063.11
2010-02-05,.SPX,1066.19
2010-02-08,.SPX,1056.74
2010-02-09,.SPX,1070.52
2010-02-10,.SPX,1068.13
2010-02-11,.SPX,1078.47
2010-02-12,.SPX,1075.51
2010-02-12,.SPX,1075.51
2010-02-16,.SPX,1094.87
2010-02-17,.SPX,1099.51
2010-02-18,.SPX,1106.75
2010-02-19,.SPX,1109.17
2010-02-22,.SPX,1108.01
2010-02-23,.SPX,1094.6
2010-02-24,.SPX,1105.24
2010-02-25,.SPX,1102.94
2010-02-26,.SPX,1104.49
2010-03-01,.SPX,1115.71
2010-03-02,.SPX,1118.31
2010-03-03,.SPX,1118.79
2010-03-04,.SPX,1122.97
2010-03-05,.SPX,1138.7
2010-03-08,.SPX,1138.5
2010-03-09,.SPX,1140.45
2010-03-10,.SPX,1145.61
2010-03-11,.SPX,1150.24
2010-03-12,.SPX,1149.99
2010-03-15,.SPX,1150.51
2010-03-16,.SPX,1159.46
2010-03-17,.SPX,1166.21
2010-03-18,.SPX,1165.83
2010-03-19,.SPX,1159.9
2010-03-22,.SPX,1165.81
2010-03-23,.SPX,1174.17
2010-03-24,.SPX,1167.72
2010-03-25,.SPX,1165.73
2010-03-26,.SPX,1166.59
2010-03-29,.SPX,1173.22
2010-03-30,.SPX,1173.27
2010-03-31,.SPX,1169.43
2010-04-01,.SPX,1178.1
2010-04-01,.SPX,1178.1
2010-04-05,.SPX,1187.44
2010-04-06,.SPX,1189.44
2010-04-07,.SPX,1182.45
2010-04-08,.SPX,1186.44
2010-04-09,.SPX,1194.37
2010-04-12,.SPX,1196.48
2010-04-13,.SPX,1197.3
2010-04-14,.SPX,1210.65
2010-04-15,.SPX,1211.67
2010-04-16,.SPX,1192.13
2010-04-19,.SPX,1197.52
2010-04-20,.SPX,1207.17
2010-04-21,.SPX,1205.94
2010-04-22,.SPX,1208.67
2010-04-23,.SPX,1217.28
2010-04-26,.SPX,1212.05
2010-04-27,.SPX,1183.71
2010-04-28,.SPX,1191.36
2010-04-29,.SPX,1206.78
2010-04-30,.SPX,1186.69
2010-05-03,.SPX,1202.26
2010-05-04,.SPX,1173.6
2010-05-05,.SPX,1165.9
2010-05-06,.SPX,1128.15
2010-05-07,.SPX,1110.88
2010-05-10,.SPX,1159.73
2010-05-11,.SPX,1155.79
2010-05-12,.SPX,1171.67
2010-05-13,.SPX,1157.44
2010-05-14,.SPX,1135.68
2010-05-17,.SPX,1136.94
2010-05-18,.SPX,1120.8
2010-05-19,.SPX,1115.05
2010-05-20,.SPX,1071.59
2010-05-21,.SPX,1087.69
2010-05-24,.SPX,1073.65
2010-05-25,.SPX,1074.03
2010-05-26,.SPX,1067.95
2010-05-27,.SPX,1103.06
2010-05-28,.SPX,1089.41
2010-05-28,.SPX,1089.41
2010-06-01,.SPX,1070.71
2010-06-02,.SPX,1098.38
2010-06-03,.SPX,1102.83
2010-06-04,.SPX,1064.88
2010-06-07,.SPX,1050.47
2010-06-08,.SPX,1062.0
2010-06-09,.SPX,1055.69
2010-06-10,.SPX,1086.84
2010-06-11,.SPX,1091.6
2010-06-14,.SPX,1089.63
2010-06-15,.SPX,1115.23
2010-06-16,.SPX,1114.61
2010-06-17,.SPX,1116.04
2010-06-18,.SPX,1117.51
2010-06-21,.SPX,1113.2
2010-06-22,.SPX,1095.31
2010-06-23,.SPX,1092.04
2010-06-24,.SPX,1073.69
2010-06-25,.SPX,1076.76
2010-06-28,.SPX,1074.57
2010-06-29,.SPX,1041.24
2010-06-30,.SPX,1030.71
2010-07-01,.SPX,1027.37
2010-07-02,.SPX,1022.58
2010-07-02,.SPX,1022.58
2010-07-06,.SPX,1028.06
2010-07-07,.SPX,1060.27
2010-07-08,.SPX,1070.25
2010-07-09,.SPX,1077.96
2010-07-12,.SPX,1078.75
2010-07-13,.SPX,1095.34
2010-07-14,.SPX,1095.17
2010-07-15,.SPX,1096.48
2010-07-16,.SPX,1064.88
2010-07-19,.SPX,1071.25
2010-07-20,.SPX,1083.48
2010-07-21,.SPX,1069.59
2010-07-22,.SPX,1093.67
2010-07-23,.SPX,1102.66
2010-07-26,.SPX,1115.01
2010-07-27,.SPX,1113.84
2010-07-28,.SPX,1106.13
2010-07-29,.SPX,1101.53
2010-07-30,.SPX,1101.6
2010-08-02,.SPX,1125.86
2010-08-03,.SPX,1120.46
2010-08-04,.SPX,1127.24
2010-08-05,.SPX,1125.81
2010-08-06,.SPX,1121.64
2010-08-09,.SPX,1127.79
2010-08-10,.SPX,1121.06
2010-08-11,.SPX,1089.47
2010-08-12,.SPX,1083.61
2010-08-13,.SPX,1079.25
2010-08-16,.SPX,1079.38
2010-08-17,.SPX,1092.54
2010-08-18,.SPX,1094.16
2010-08-19,.SPX,1075.63
2010-08-20,.SPX,1071.69
2010-08-23,.SPX,1067.36
2010-08-24,.SPX,1051.87
2010-08-25,.SPX,1055.33
2010-08-26,.SPX,1047.22
2010-08-27,.SPX,1064.59
2010-08-30,.SPX,1048.92
2010-08-31,.SPX,1049.33
2010-09-01,.SPX,1080.29
2010-09-02,.SPX,1090.1
2010-09-03,.SPX,1104.51
2010-09-03,.SPX,1104.51
2010-09-07,.SPX,1091.84
2010-09-08,.SPX,1098.87
2010-09-09,.SPX,1104.18
2010-09-10,.SPX,1109.55
2010-09-13,.SPX,1121.9
2010-09-14,.SPX,1121.1
2010-09-15,.SPX,1125.07
2010-09-16,.SPX,1124.66
2010-09-17,.SPX,1125.59
2010-09-20,.SPX,1142.71
2010-09-21,.SPX,1139.78
2010-09-22,.SPX,1134.28
2010-09-23,.SPX,1124.83
2010-09-24,.SPX,1148.67
2010-09-27,.SPX,1142.16
2010-09-28,.SPX,1147.7
2010-09-29,.SPX,1144.73
2010-09-30,.SPX,1141.2
2010-10-01,.SPX,1146.24
2010-10-04,.SPX,1137.03
2010-10-05,.SPX,1160.75
2010-10-06,.SPX,1159.97
2010-10-07,.SPX,1158.06
2010-10-08,.SPX,1165.15
2010-10-11,.SPX,1165.32
2010-10-12,.SPX,1169.77
2010-10-13,.SPX,1178.1
2010-10-14,.SPX,1173.81
2010-10-15,.SPX,1176.19
2010-10-18,.SPX,1184.71
2010-10-19,.SPX,1165.9
2010-10-20,.SPX,1178.17
2010-10-21,.SPX,1180.26
2010-10-22,.SPX,1183.08
2010-10-25,.SPX,1185.62
2010-10-26,.SPX,1185.64
2010-10-27,.SPX,1182.45
2010-10-28,.SPX,1183.78
2010-10-29,.SPX,1183.26
2010-11-01,.SPX,1184.38
2010-11-02,.SPX,1193.57
2010-11-03,.SPX,1197.96
2010-11-04,.SPX,1221.06
2010-11-05,.SPX,1225.85
2010-11-08,.SPX,1223.25
2010-11-09,.SPX,1213.4
2010-11-10,.SPX,1218.71
2010-11-11,.SPX,1213.54
2010-11-12,.SPX,1199.21
2010-11-15,.SPX,1197.75
2010-11-16,.SPX,1178.34
2010-11-17,.SPX,1178.59
2010-11-18,.SPX,1196.69
2010-11-19,.SPX,1199.73
2010-11-22,.SPX,1197.84
2010-11-23,.SPX,1180.73
2010-11-24,.SPX,1198.35
2010-11-24,.SPX,1198.35
2010-11-26,.SPX,1189.4
2010-11-29,.SPX,1187.76
2010-11-30,.SPX,1180.55
2010-12-01,.SPX,1206.07
2010-12-02,.SPX,1221.53
2010-12-03,.SPX,1224.71
2010-12-06,.SPX,1223.12
2010-12-07,.SPX,1223.75
2010-12-08,.SPX,1228.28
2010-12-09,.SPX,1233.0
2010-12-10,.SPX,1240.4
2010-12-13,.SPX,1240.46
2010-12-14,.SPX,1241.59
2010-12-15,.SPX,1235.23
2010-12-16,.SPX,1242.87
2010-12-17,.SPX,1243.91
2010-12-20,.SPX,1247.08
2010-12-21,.SPX,1254.6
2010-12-22,.SPX,1258.84
2010-12-23,.SPX,1256.77
2010-12-23,.SPX,1256.77
2010-12-27,.SPX,1257.54
2010-12-28,.SPX,1258.51
2010-12-29,.SPX,1259.78
2010-12-30,.SPX,1257.88
2010-12-31,.SPX,1257.64
2011-01-03,.SPX,1271.87
2011-01-04,.SPX,1270.2
2011-01-05,.SPX,1276.56
2011-01-06,.SPX,1273.85
2011-01-07,.SPX,1271.5
2011-01-10,.SPX,1269.75
2011-01-11,.SPX,1274.48
2011-01-12,.SPX,1285.96
2011-01-13,.SPX,1283.76
2011-01-14,.SPX,1293.24
2011-01-14,.SPX,1293.24
2011-01-18,.SPX,1295.02
2011-01-19,.SPX,1281.92
2011-01-20,.SPX,1280.26
2011-01-21,.SPX,1283.35
2011-01-24,.SPX,1290.84
2011-01-25,.SPX,1291.18
2011-01-26,.SPX,1296.63
2011-01-27,.SPX,1299.54
2011-01-28,.SPX,1276.34
2011-01-31,.SPX,1286.12
2011-02-01,.SPX,1307.59
2011-02-02,.SPX,1304.03
2011-02-03,.SPX,1307.1
2011-02-04,.SPX,1310.87
2011-02-07,.SPX,1319.05
2011-02-08,.SPX,1324.57
2011-02-09,.SPX,1320.88
2011-02-10,.SPX,1321.87
2011-02-11,.SPX,1329.15
2011-02-14,.SPX,1332.32
2011-02-15,.SPX,1328.01
2011-02-16,.SPX,1336.32
2011-02-17,.SPX,1340.43
2011-02-18,.SPX,1343.01
2011-02-18,.SPX,1343.01
2011-02-22,.SPX,1315.44
2011-02-23,.SPX,1307.4
2011-02-24,.SPX,1306.1
2011-02-25,.SPX,1319.88
2011-02-28,.SPX,1327.22
2011-03-01,.SPX,1306.33
2011-03-02,.SPX,1308.44
2011-03-03,.SPX,1330.97
2011-03-04,.SPX,1321.15
2011-03-07,.SPX,1310.13
2011-03-08,.SPX,1321.82
2011-03-09,.SPX,1320.02
2011-03-10,.SPX,1295.11
2011-03-11,.SPX,1304.28
2011-03-14,.SPX,1296.39
2011-03-15,.SPX,1281.87
2011-03-16,.SPX,1256.88
2011-03-17,.SPX,1273.72
2011-03-18,.SPX,1279.2
2011-03-21,.SPX,1298.38
2011-03-22,.SPX,1293.77
2011-03-23,.SPX,1297.54
2011-03-24,.SPX,1309.66
2011-03-25,.SPX,1313.8
2011-03-28,.SPX,1310.19
2011-03-29,.SPX,1319.44
2011-03-30,.SPX,1328.26
2011-03-31,.SPX,1325.83
2011-04-01,.SPX,1332.41
2011-04-04,.SPX,1332.87
2011-04-05,.SPX,1332.63
2011-04-06,.SPX,1335.54
2011-04-07,.SPX,1333.51
2011-04-08,.SPX,1328.17
2011-04-11,.SPX,1324.46
2011-04-12,.SPX,1314.16
2011-04-13,.SPX,1314.41
2011-04-14,.SPX,1314.52
2011-04-15,.SPX,1319.68
2011-04-18,.SPX,1305.14
2011-04-19,.SPX,1312.62
2011-04-20,.SPX,1330.36
2011-04-21,.SPX,1337.38
2011-04-21,.SPX,1337.38
2011-04-25,.SPX,1335.25
2011-04-26,.SPX,1347.24
2011-04-27,.SPX,1355.66
2011-04-28,.SPX,1360.48
2011-04-29,.SPX,1363.61
2011-05-02,.SPX,1361.22
2011-05-03,.SPX,1356.62
2011-05-04,.SPX,1347.32
2011-05-05,.SPX,1335.1
2011-05-06,.SPX,1340.2
2011-05-09,.SPX,1346.29
2011-05-10,.SPX,1357.16
2011-05-11,.SPX,1342.08
2011-05-12,.SPX,1348.65
2011-05-13,.SPX,1337.77
2011-05-16,.SPX,1329.47
2011-05-17,.SPX,1328.98
2011-05-18,.SPX,1340.68
2011-05-19,.SPX,1343.6
2011-05-20,.SPX,1333.27
2011-05-23,.SPX,1317.37
2011-05-24,.SPX,1316.28
