,Instrument,Price Close,Date
73447,RSG.N,223.5,2025-02-12T00:00:00Z
73448,RSG.N,224.49,2025-02-13T00:00:00Z
73449,RSG.N,231.37,2025-02-14T00:00:00Z
73450,RSG.N,228.55,2025-02-18T00:00:00Z
73451,RSG.N,229.66,2025-02-19T00:00:00Z
73452,RSG.N,230.86,2025-02-20T00:00:00Z
73453,RSG.N,230.87,2025-02-21T00:00:00Z
73454,RSG.N,232.71,2025-02-24T00:00:00Z
73455,RSG.N,233.51,2025-02-25T00:00:00Z
73456,RSG.N,231.57,2025-02-26T00:00:00Z
73457,RSG.N,232.69,2025-02-27T00:00:00Z
73458,RSG.N,237.02,2025-02-28T00:00:00Z
73459,RSG.N,239.62,2025-03-03T00:00:00Z
73460,RSG.N,235.94,2025-03-04T00:00:00Z
73461,RSG.N,235.76,2025-03-05T00:00:00Z
73462,RSG.N,231.49,2025-03-06T00:00:00Z
73463,RSG.N,234.18,2025-03-07T00:00:00Z
73464,RSG.N,233.3,2025-03-10T00:00:00Z
73465,RSG.N,231.71,2025-03-11T00:00:00Z
73466,RSG.N,230.63,2025-03-12T00:00:00Z
73467,RSG.N,229.28,2025-03-13T00:00:00Z
73468,RSG.N,232.01,2025-03-14T00:00:00Z
73469,RSG.N,235.76,2025-03-17T00:00:00Z
73470,RSG.N,234.04,2025-03-18T00:00:00Z
73471,RSG.N,234.56,2025-03-19T00:00:00Z
73472,RSG.N,234.86,2025-03-20T00:00:00Z
73473,RSG.N,233.34,2025-03-21T00:00:00Z
73474,RSG.N,235.99,2025-03-24T00:00:00Z
73475,RSG.N,237.79,2025-03-25T00:00:00Z
73476,RSG.N,237.75,2025-03-26T00:00:00Z
73477,RSG.N,239.77,2025-03-27T00:00:00Z
73478,RSG.N,238.54,2025-03-28T00:00:00Z
73479,RSG.N,242.16,2025-03-31T00:00:00Z
73480,RSG.N,243.72,2025-04-01T00:00:00Z
73481,RSG.N,244.82,2025-04-02T00:00:00Z
73482,RSG.N,248.44,2025-04-03T00:00:00Z
73483,RSG.N,235.42,2025-04-04T00:00:00Z
73484,RSG.N,230.93,2025-04-07T00:00:00Z
73485,RSG.N,227.2,2025-04-08T00:00:00Z
73486,RSG.N,239.26,2025-04-09T00:00:00Z
73487,RSG.N,240.23,2025-04-10T00:00:00Z
73488,RSG.N,243.92,2025-04-11T00:00:00Z
73489,RSG.N,245.56,2025-04-14T00:00:00Z
73490,RSG.N,245.0,2025-04-15T00:00:00Z
73491,RSG.N,243.61,2025-04-16T00:00:00Z
73492,RSG.N,243.28,2025-04-17T00:00:00Z
73493,RSG.N,238.37,2025-04-21T00:00:00Z
73494,RSG.N,242.57,2025-04-22T00:00:00Z
73495,RSG.N,241.37,2025-04-23T00:00:00Z
73496,RSG.N,240.76,2025-04-24T00:00:00Z
73497,RSG.N,243.56,2025-04-25T00:00:00Z
73498,RSG.N,246.11,2025-04-28T00:00:00Z
73499,RSG.N,247.7,2025-04-29T00:00:00Z
73500,RSG.N,250.75,2025-04-30T00:00:00Z
73501,RSG.N,249.41,2025-05-01T00:00:00Z
73502,RSG.N,250.52,2025-05-02T00:00:00Z
73503,RSG.N,250.73,2025-05-05T00:00:00Z
73504,RSG.N,250.85,2025-05-06T00:00:00Z
73505,RSG.N,251.81,2025-05-07T00:00:00Z
73506,RSG.N,249.33,2025-05-08T00:00:00Z
73507,RSG.N,248.58,2025-05-09T00:00:00Z
73508,URI.N,105.62,2019-01-02T00:00:00Z
73509,URI.N,101.98,2019-01-03T00:00:00Z
73510,URI.N,110.13,2019-01-04T00:00:00Z
73511,URI.N,114.12,2019-01-07T00:00:00Z
73512,URI.N,116.26,2019-01-08T00:00:00Z
73513,URI.N,118.47,2019-01-09T00:00:00Z
73514,URI.N,118.78,2019-01-10T00:00:00Z
73515,URI.N,117.45,2019-01-11T00:00:00Z
73516,URI.N,116.74,2019-01-14T00:00:00Z
73517,URI.N,116.15,2019-01-15T00:00:00Z
73518,URI.N,117.5,2019-01-16T00:00:00Z
73519,URI.N,119.38,2019-01-17T00:00:00Z
73520,URI.N,123.32,2019-01-18T00:00:00Z
73521,URI.N,118.24,2019-01-22T00:00:00Z
73522,URI.N,116.02,2019-01-23T00:00:00Z
73523,URI.N,123.32,2019-01-24T00:00:00Z
73524,URI.N,127.26,2019-01-25T00:00:00Z
73525,URI.N,124.79,2019-01-28T00:00:00Z
73526,URI.N,124.32,2019-01-29T00:00:00Z
73527,URI.N,127.97,2019-01-30T00:00:00Z
73528,URI.N,125.26,2019-01-31T00:00:00Z
73529,URI.N,126.34,2019-02-01T00:00:00Z
73530,URI.N,129.39,2019-02-04T00:00:00Z
73531,URI.N,129.14,2019-02-05T00:00:00Z
73532,URI.N,128.9,2019-02-06T00:00:00Z
73533,URI.N,125.98,2019-02-07T00:00:00Z
73534,URI.N,126.29,2019-02-08T00:00:00Z
73535,URI.N,127.89,2019-02-11T00:00:00Z
73536,URI.N,131.41,2019-02-12T00:00:00Z
73537,URI.N,132.14,2019-02-13T00:00:00Z
73538,URI.N,131.7,2019-02-14T00:00:00Z
73539,URI.N,134.86,2019-02-15T00:00:00Z
73540,URI.N,134.29,2019-02-19T00:00:00Z
73541,URI.N,136.26,2019-02-20T00:00:00Z
73542,URI.N,135.05,2019-02-21T00:00:00Z
73543,URI.N,136.84,2019-02-22T00:00:00Z
73544,URI.N,136.29,2019-02-25T00:00:00Z
73545,URI.N,134.84,2019-02-26T00:00:00Z
73546,URI.N,135.66,2019-02-27T00:00:00Z
73547,URI.N,134.59,2019-02-28T00:00:00Z
73548,URI.N,135.69,2019-03-01T00:00:00Z
73549,URI.N,132.49,2019-03-04T00:00:00Z
73550,URI.N,130.44,2019-03-05T00:00:00Z
73551,URI.N,128.05,2019-03-06T00:00:00Z
73552,URI.N,126.58,2019-03-07T00:00:00Z
73553,URI.N,123.24,2019-03-08T00:00:00Z
73554,URI.N,124.01,2019-03-11T00:00:00Z
73555,URI.N,125.3,2019-03-12T00:00:00Z
73556,URI.N,124.34,2019-03-13T00:00:00Z
73557,URI.N,121.71,2019-03-14T00:00:00Z
73558,URI.N,120.14,2019-03-15T00:00:00Z
73559,URI.N,122.99,2019-03-18T00:00:00Z
73560,URI.N,120.68,2019-03-19T00:00:00Z
73561,URI.N,116.11,2019-03-20T00:00:00Z
73562,URI.N,119.06,2019-03-21T00:00:00Z
73563,URI.N,110.96,2019-03-22T00:00:00Z
73564,URI.N,111.12,2019-03-25T00:00:00Z
73565,URI.N,111.6,2019-03-26T00:00:00Z
73566,URI.N,110.72,2019-03-27T00:00:00Z
73567,URI.N,112.57,2019-03-28T00:00:00Z
73568,URI.N,114.25,2019-03-29T00:00:00Z
73569,URI.N,118.11,2019-04-01T00:00:00Z
73570,URI.N,118.53,2019-04-02T00:00:00Z
73571,URI.N,120.98,2019-04-03T00:00:00Z
73572,URI.N,122.54,2019-04-04T00:00:00Z
73573,URI.N,123.34,2019-04-05T00:00:00Z
73574,URI.N,124.08,2019-04-08T00:00:00Z
73575,URI.N,119.57,2019-04-09T00:00:00Z
73576,URI.N,121.19,2019-04-10T00:00:00Z
73577,URI.N,124.75,2019-04-11T00:00:00Z
73578,URI.N,126.74,2019-04-12T00:00:00Z
73579,URI.N,125.37,2019-04-15T00:00:00Z
73580,URI.N,126.05,2019-04-16T00:00:00Z
73581,URI.N,125.76,2019-04-17T00:00:00Z
73582,URI.N,136.0,2019-04-18T00:00:00Z
73583,URI.N,135.46,2019-04-22T00:00:00Z
73584,URI.N,138.38,2019-04-23T00:00:00Z
73585,URI.N,139.89,2019-04-24T00:00:00Z
73586,URI.N,137.53,2019-04-25T00:00:00Z
73587,URI.N,140.4,2019-04-26T00:00:00Z
73588,URI.N,140.94,2019-04-29T00:00:00Z
73589,URI.N,140.92,2019-04-30T00:00:00Z
73590,URI.N,138.64,2019-05-01T00:00:00Z
73591,URI.N,137.0,2019-05-02T00:00:00Z
73592,URI.N,140.24,2019-05-03T00:00:00Z
73593,URI.N,137.55,2019-05-06T00:00:00Z
73594,URI.N,134.27,2019-05-07T00:00:00Z
73595,URI.N,133.99,2019-05-08T00:00:00Z
73596,URI.N,133.79,2019-05-09T00:00:00Z
73597,URI.N,132.51,2019-05-10T00:00:00Z
73598,URI.N,126.19,2019-05-13T00:00:00Z
73599,URI.N,127.09,2019-05-14T00:00:00Z
73600,URI.N,128.67,2019-05-15T00:00:00Z
73601,URI.N,128.46,2019-05-16T00:00:00Z
73602,URI.N,126.33,2019-05-17T00:00:00Z
73603,URI.N,124.05,2019-05-20T00:00:00Z
73604,URI.N,126.73,2019-05-21T00:00:00Z
73605,URI.N,122.39,2019-05-22T00:00:00Z
73606,URI.N,118.49,2019-05-23T00:00:00Z
73607,URI.N,118.54,2019-05-24T00:00:00Z
73608,URI.N,115.0,2019-05-28T00:00:00Z
73609,URI.N,115.83,2019-05-29T00:00:00Z
73610,URI.N,115.19,2019-05-30T00:00:00Z
73611,URI.N,110.1,2019-05-31T00:00:00Z
73612,URI.N,113.85,2019-06-03T00:00:00Z
73613,URI.N,121.34,2019-06-04T00:00:00Z
73614,URI.N,119.38,2019-06-05T00:00:00Z
73615,URI.N,118.75,2019-06-06T00:00:00Z
73616,URI.N,122.23,2019-06-07T00:00:00Z
73617,URI.N,123.59,2019-06-10T00:00:00Z
73618,URI.N,122.25,2019-06-11T00:00:00Z
73619,URI.N,121.55,2019-06-12T00:00:00Z
73620,URI.N,123.78,2019-06-13T00:00:00Z
73621,URI.N,122.87,2019-06-14T00:00:00Z
73622,URI.N,121.34,2019-06-17T00:00:00Z
73623,URI.N,127.76,2019-06-18T00:00:00Z
73624,URI.N,126.28,2019-06-19T00:00:00Z
73625,URI.N,130.75,2019-06-20T00:00:00Z
73626,URI.N,129.87,2019-06-21T00:00:00Z
73627,URI.N,129.61,2019-06-24T00:00:00Z
73628,URI.N,128.62,2019-06-25T00:00:00Z
73629,URI.N,130.57,2019-06-26T00:00:00Z
73630,URI.N,131.97,2019-06-27T00:00:00Z
73631,URI.N,132.63,2019-06-28T00:00:00Z
73632,URI.N,134.3,2019-07-01T00:00:00Z
73633,URI.N,131.8,2019-07-02T00:00:00Z
73634,URI.N,132.92,2019-07-03T00:00:00Z
73635,URI.N,132.92,2019-07-05T00:00:00Z
73636,URI.N,131.92,2019-07-08T00:00:00Z
73637,URI.N,131.41,2019-07-09T00:00:00Z
73638,URI.N,130.48,2019-07-10T00:00:00Z
73639,URI.N,131.33,2019-07-11T00:00:00Z
73640,URI.N,136.34,2019-07-12T00:00:00Z
73641,URI.N,134.74,2019-07-15T00:00:00Z
73642,URI.N,137.59,2019-07-16T00:00:00Z
73643,URI.N,131.49,2019-07-17T00:00:00Z
73644,URI.N,121.11,2019-07-18T00:00:00Z
73645,URI.N,118.98,2019-07-19T00:00:00Z
73646,URI.N,118.11,2019-07-22T00:00:00Z
73647,URI.N,121.86,2019-07-23T00:00:00Z
73648,URI.N,126.63,2019-07-24T00:00:00Z
73649,URI.N,127.74,2019-07-25T00:00:00Z
73650,URI.N,127.61,2019-07-26T00:00:00Z
73651,URI.N,128.99,2019-07-29T00:00:00Z
73652,URI.N,129.95,2019-07-30T00:00:00Z
73653,URI.N,126.55,2019-07-31T00:00:00Z
73654,URI.N,120.88,2019-08-01T00:00:00Z
73655,URI.N,117.28,2019-08-02T00:00:00Z
73656,URI.N,113.35,2019-08-05T00:00:00Z
73657,URI.N,114.38,2019-08-06T00:00:00Z
73658,URI.N,113.41,2019-08-07T00:00:00Z
73659,URI.N,117.85,2019-08-08T00:00:00Z
73660,URI.N,115.57,2019-08-09T00:00:00Z
73661,URI.N,110.84,2019-08-12T00:00:00Z
73662,URI.N,112.52,2019-08-13T00:00:00Z
73663,URI.N,105.36,2019-08-14T00:00:00Z
73664,URI.N,104.57,2019-08-15T00:00:00Z
73665,URI.N,107.99,2019-08-16T00:00:00Z
73666,URI.N,110.64,2019-08-19T00:00:00Z
73667,URI.N,109.16,2019-08-20T00:00:00Z
73668,URI.N,111.26,2019-08-21T00:00:00Z
73669,URI.N,109.85,2019-08-22T00:00:00Z
73670,URI.N,104.96,2019-08-23T00:00:00Z
73671,URI.N,106.26,2019-08-26T00:00:00Z
73672,URI.N,103.8,2019-08-27T00:00:00Z
73673,URI.N,106.32,2019-08-28T00:00:00Z
73674,URI.N,111.32,2019-08-29T00:00:00Z
73675,URI.N,112.56,2019-08-30T00:00:00Z
73676,URI.N,109.67,2019-09-03T00:00:00Z
73677,URI.N,112.8,2019-09-04T00:00:00Z
73678,URI.N,116.49,2019-09-05T00:00:00Z
73679,URI.N,116.89,2019-09-06T00:00:00Z
73680,URI.N,120.72,2019-09-09T00:00:00Z
73681,URI.N,124.05,2019-09-10T00:00:00Z
73682,URI.N,127.62,2019-09-11T00:00:00Z
73683,URI.N,128.0,2019-09-12T00:00:00Z
73684,URI.N,128.87,2019-09-13T00:00:00Z
73685,URI.N,128.35,2019-09-16T00:00:00Z
73686,URI.N,126.9,2019-09-17T00:00:00Z
73687,URI.N,124.71,2019-09-18T00:00:00Z
73688,URI.N,125.1,2019-09-19T00:00:00Z
73689,URI.N,126.44,2019-09-20T00:00:00Z
73690,URI.N,128.4,2019-09-23T00:00:00Z
73691,URI.N,124.73,2019-09-24T00:00:00Z
73692,URI.N,127.89,2019-09-25T00:00:00Z
73693,URI.N,127.57,2019-09-26T00:00:00Z
73694,URI.N,124.79,2019-09-27T00:00:00Z
73695,URI.N,124.64,2019-09-30T00:00:00Z
73696,URI.N,119.57,2019-10-01T00:00:00Z
73697,URI.N,115.98,2019-10-02T00:00:00Z
73698,URI.N,116.39,2019-10-03T00:00:00Z
73699,URI.N,117.21,2019-10-04T00:00:00Z
73700,URI.N,115.66,2019-10-07T00:00:00Z
73701,URI.N,109.2,2019-10-08T00:00:00Z
73702,URI.N,111.48,2019-10-09T00:00:00Z
73703,URI.N,113.32,2019-10-10T00:00:00Z
