date,MOVE,SPX,SKEWX,RVOL,VIX,VVIX,CESIUSD,GPR,Year_Week,GEP,Returns,Squared Returns
2013-09-16,94.5,1697.6,118.84,9.72,14.38,80.09,46.2,100.4593276977539,2013-09-01,132.5802037108033,0.5677016891980371,0.32228520791830473
2013-09-17,90.8,1704.76,121.59,9.77,14.53,79.49,40.7,100.4593276977539,2013-09-01,132.5802037108033,0.420884948659013,0.1771441400077
2013-09-18,82.7,1725.52,114.22,10.34,13.59,74.65,39.2,100.4593276977539,2013-09-01,132.5802037108033,1.2104115967809936,1.4650962336219147
2013-09-19,80.3,1722.34,115.69,10.24,13.16,73.22,44.4,100.4593276977539,2013-09-01,132.5802037108033,-0.18446229845168335,0.0340263395500779
2013-09-20,77.7,1709.91,115.87,10.33,13.12,76.89,44.4,100.4593276977539,2013-09-01,132.5802037108033,-0.7243093796933789,0.5246240775118074
2013-09-23,75.3,1701.84,119.08,10.05,14.31,77.56,45.9,100.4593276977539,2013-09-01,132.5802037108033,-0.47307188688171364,0.22379701015782488
2013-09-24,74.8,1697.42,119.31,10.0,14.08,74.78,46.2,100.4593276977539,2013-09-01,132.5802037108033,-0.26005674711671983,0.06762951172092957
2013-09-25,75.3,1692.77,117.45,9.96,14.01,73.08,47.0,100.4593276977539,2013-09-01,132.5802037108033,-0.2743210802944285,0.07525205509390227
2013-09-26,77.6,1698.67,122.03,8.31,14.06,69.96,47.8,100.4593276977539,2013-09-01,132.5802037108033,0.347935151561587,0.12105886969218452
2013-09-27,78.0,1691.75,124.48,8.38,15.46,74.93,46.5,100.4593276977539,2013-09-01,132.5802037108033,-0.4082095793020239,0.16663506063393532
2013-09-30,80.2,1681.55,123.46,8.58,16.6,81.67,50.5,100.4593276977539,2013-09-01,132.5802037108033,-0.6047509018760081,0.3657236533198452
2013-10-01,87.4,1695.0,123.74,8.86,15.54,76.43,53.3,72.95311737060547,2013-10-01,158.59966405902128,0.7966753720975774,0.6346916485068135
2013-10-02,82.2,1693.87,123.52,8.73,16.6,85.73,51.7,72.95311737060547,2013-10-01,158.59966405902128,-0.06668889877037676,0.0044474092192055585
2013-10-03,80.3,1678.66,122.31,8.76,17.67,93.79,44.9,72.95311737060547,2013-10-01,158.59966405902128,-0.9019995744482426,0.8136032323048108
2013-10-04,82.5,1690.5,123.98,9.12,16.74,88.71,44.7,72.95311737060547,2013-10-01,158.59966405902128,0.7028487065576219,0.4939963043097221
2013-10-07,80.3,1676.12,123.23,9.61,19.41,103.08,44.0,72.95311737060547,2013-10-01,158.59966405902128,-0.8542744623655643,0.7297848570499739
2013-10-08,81.1,1655.45,120.72,9.93,20.34,106.55,43.7,72.95311737060547,2013-10-01,158.59966405902128,-1.2408723348868085,1.5397641514874398
2013-10-09,80.8,1656.4,122.62,9.58,19.6,111.43,43.3,72.95311737060547,2013-10-01,158.59966405902128,0.05736974959952306,0.0032912881691119764
2013-10-10,80.1,1692.56,120.25,12.04,16.48,95.31,35.9,72.95311737060547,2013-10-01,158.59966405902128,2.1595603003649866,4.663700690912511
2013-10-11,77.1,1703.2,130.97,12.19,15.72,90.85,35.4,72.95311737060547,2013-10-01,158.59966405902128,0.6266658904207739,0.3927101382168614
2013-10-15,75.8,1698.06,131.01,12.36,18.66,103.37,30.9,72.95311737060547,2013-10-01,158.59966405902128,-0.30224116432219494,0.09134972141083604
2013-10-16,73.2,1721.54,125.24,13.19,14.71,85.7,26.8,72.95311737060547,2013-10-01,158.59966405902128,1.3732816122981577,1.8859023866762274
2013-10-17,70.1,1733.15,126.68,12.75,13.48,72.7,24.0,72.95311737060547,2013-10-01,158.59966405902128,0.6721323017650933,0.45176183107604245
2013-10-18,72.5,1744.5,131.35,12.93,13.04,73.42,23.2,72.95311737060547,2013-10-01,158.59966405902128,0.6527419550148451,0.42607205983660207
2013-10-21,71.5,1744.66,130.67,12.69,13.16,75.02,19.6,72.95311737060547,2013-10-01,158.59966405902128,0.009171261857431334,8.411204405757485e-05
2013-10-22,63.1,1754.67,129.17,12.75,13.33,74.13,19.4,72.95311737060547,2013-10-01,158.59966405902128,0.5721110785884598,0.3273110862436508
2013-10-23,62.0,1746.38,134.47,12.83,13.42,72.43,18.2,72.95311737060547,2013-10-01,158.59966405902128,-0.47357309912257806,0.22427148021256313
2013-10-24,63.1,1752.07,135.42,12.85,13.2,70.84,17.1,72.95311737060547,2013-10-01,158.59966405902128,0.32528719960210106,0.10581176222497714
2013-10-25,61.14,1759.77,135.06,12.89,13.09,70.03,17.0,72.95311737060547,2013-10-01,158.59966405902128,0.438517263831988,0.1922973906786934
2013-10-28,58.5,1762.11,133.27,12.82,13.31,70.16,11.4,72.95311737060547,2013-10-01,158.59966405902128,0.1328835930998072,0.01765804931511513
2013-10-29,58.8,1771.95,127.58,12.82,13.41,68.52,5.4,72.95311737060547,2013-10-01,158.59966405902128,0.5568680457237637,0.3101020203482038
2013-10-30,60.6,1763.31,127.95,12.71,13.65,69.56,-2.1,72.95311737060547,2013-10-01,158.59966405902128,-0.48879104801314577,0.23891668861778936
2013-10-31,61.7,1756.54,132.33,12.75,13.75,69.44,3.8,72.95311737060547,2013-10-01,158.59966405902128,-0.3846759576849974,0.1479755924208699
2013-11-01,69.6,1761.64,129.84,12.42,13.28,68.94,5.3,77.77902221679688,2013-11-01,96.29112641620068,0.2899228335302809,0.08405524940222699
2013-11-04,64.21,1767.93,125.57,12.22,12.93,67.09,-3.8,77.77902221679688,2013-11-01,96.29112641620068,0.35641773126337484,0.12703359915893128
2013-11-05,68.6,1762.97,122.98,11.89,13.27,67.41,0.0,77.77902221679688,2013-11-01,96.29112641620068,-0.2809483849739196,0.07893199501945374
2013-11-06,67.1,1770.49,118.69,11.21,12.67,67.41,0.4,77.77902221679688,2013-11-01,96.29112641620068,0.42564576101536705,0.18117431387035096
2013-11-07,66.5,1747.15,123.83,12.08,13.91,71.74,13.0,77.77902221679688,2013-11-01,96.29112641620068,-1.327045548901987,1.761049888860576
2013-11-08,69.9,1770.61,126.37,10.58,12.9,69.39,19.4,77.77902221679688,2013-11-01,96.29112641620068,1.333823103901602,1.7790840725017036
2013-11-12,69.6,1767.69,129.66,10.28,12.82,69.39,17.6,77.77902221679688,2013-11-01,96.29112641620068,-0.16505105066754208,0.027241849326459542
2013-11-13,65.8,1782.0,131.01,10.32,12.52,71.37,18.0,77.77902221679688,2013-11-01,96.29112641620068,0.8062719573425563,0.650074469196997
2013-11-14,61.9,1790.62,133.03,9.32,12.37,71.91,11.5,77.77902221679688,2013-11-01,96.29112641620068,0.48255995473341795,0.23286410991231837
2013-11-15,62.2,1798.18,133.46,9.13,12.19,73.58,6.9,77.77902221679688,2013-11-01,96.29112641620068,0.42131136773868577,0.17750326858584212
2013-11-18,58.3,1791.53,137.06,8.93,13.1,75.06,5.0,77.77902221679688,2013-11-01,96.29112641620068,-0.3705038906885411,0.1372731330153464
2013-11-19,62.3,1787.87,133.62,8.97,13.39,74.45,5.2,77.77902221679688,2013-11-01,96.29112641620068,-0.20450361935312333,0.04182173032852716
2013-11-20,66.5,1781.37,133.25,8.8,13.4,69.05,6.9,77.77902221679688,2013-11-01,96.29112641620068,-0.3642235986195912,0.13265882979140506
2013-11-21,68.4,1795.85,124.63,9.06,12.66,64.95,7.0,77.77902221679688,2013-11-01,96.29112641620068,0.8095716274424049,0.6554062199597439
2013-11-22,66.8,1804.76,133.76,9.14,12.26,63.77,6.7,77.77902221679688,2013-11-01,96.29112641620068,0.4949171494279674,0.244942984797905
2013-11-25,65.1,1802.48,134.23,9.02,12.79,64.88,4.7,77.77902221679688,2013-11-01,96.29112641620068,-0.1264124540436517,0.015980108537338354
2013-11-26,65.3,1802.75,133.64,9.0,12.81,65.14,3.2,77.77902221679688,2013-11-01,96.29112641620068,0.014978239973848013,0.00022434767271417854
2013-11-27,67.8,1807.23,133.82,8.81,12.98,64.81,8.6,77.77902221679688,2013-11-01,96.29112641620068,0.24820094847459512,0.06160371082368862
2013-11-29,68.0,1805.81,130.82,8.63,13.7,64.81,6.9,77.77902221679688,2013-11-01,96.29112641620068,-0.07860417117517002,0.006178615726135429
2013-12-02,73.1,1800.9,131.64,8.61,14.23,69.59,8.0,70.37248992919922,2013-12-01,119.2406061654542,-0.2722704643955981,0.07413120578219465
2013-12-03,72.1,1795.15,132.38,8.66,14.55,73.21,5.1,70.37248992919922,2013-12-01,119.2406061654542,-0.31979560353163,0.10226922803815948
2013-12-04,75.8,1792.81,131.63,8.57,14.7,72.73,5.3,70.37248992919922,2013-12-01,119.2406061654542,-0.1304362552406203,0.017013616681196247
2013-12-05,76.1,1785.03,128.01,8.62,15.08,75.8,16.5,70.37248992919922,2013-12-01,119.2406061654542,-0.43489995429874545,0.18913797024905088
2013-12-06,69.2,1805.09,128.01,9.31,13.79,70.45,32.5,70.37248992919922,2013-12-01,119.2406061654542,1.1175230224585924,1.2488577057249874
2013-12-09,67.8,1808.37,126.09,8.18,13.49,70.45,33.0,70.37248992919922,2013-12-01,119.2406061654542,0.18154350128978636,0.03295804286055466
2013-12-10,70.5,1802.62,126.68,6.93,13.91,70.45,33.0,70.37248992919922,2013-12-01,119.2406061654542,-0.31847248870443096,0.1014247260615939
