"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m66",12.353021,0.111972,110.322159,0,"Healthcare PPI",61627.341053
"theta66",0.09178,0.012476,7.356394,0,"Healthcare PPI",61665.273959
"w266",1.001,0.426054,2.349468,0.0188,"Healthcare PPI",-30807.6705264711
"alpha67",0.000219,8e-05,2.731448,0.006306,"Healthcare GDP",0.504858114010448
"gamma67",0.002312,0.004651,0.497017,0.619177,"Healthcare GDP",0.0850522648526381
"beta67",0.997625,0.005472,182.321901,0,"Healthcare GDP",0.0004293932602582
"m67",12.404208,0.02981,416.115241,0,"Healthcare GDP",61464.206134
"theta67",0.049266,0.303578,0.162285,0.871082,"Healthcare GDP",61502.13904
"w267",1.302679,1906.031453,0.000683,0.999455,"Healthcare GDP",-30726.1030669828
"alpha68",0.035319,0.019365,1.823911,0.068166,"Healthcare UMich",6.74939444762865
"gamma68",0.53077,0.269337,1.970656,0.048763,"Healthcare UMich",0.0841044268051064
"beta68",0.423236,0.315565,1.3412,0.179855,"Healthcare UMich",0.00567653951299376
"m68",12.552812,0.094243,133.196298,0,"Healthcare UMich",61636.200219
"theta68",-0.169554,0.013597,-12.470128,0,"Healthcare UMich",61674.133125
"w268",1.001001,0.118813,8.425023,0,"Healthcare UMich",-30812.100109294
"alpha69",0.000282,7e-06,42.599612,0,"Healthcare StLouisStress",10.5189723664776
"gamma69",0.002924,9.5e-05,30.686347,0,"Healthcare StLouisStress",0.120800034101685
"beta69",0.997256,6.2e-05,16013.482247,0,"Healthcare StLouisStress",0.0127069222058517
"m69",12.453969,0.011835,1052.326414,0,"Healthcare StLouisStress",61358.242554
"theta69",0.232975,0.006326,36.830561,0,"Healthcare StLouisStress",61396.17546
"w269",1.001,0.194049,5.158499,0,"Healthcare StLouisStress",-30673.1212768974
"alpha70",0.000231,5e-06,44.35229,0,"Healthcare GEPU",0.381047397377029
"gamma70",0.002368,3.8e-05,61.640487,0,"Healthcare GEPU",0.0867162831790513
"beta70",0.997585,3.6e-05,27826.165723,0,"Healthcare GEPU",0.000330430140155869
"m70",12.461141,0.011522,1081.473993,0,"Healthcare GEPU",61463.365242
"theta70",0.00731,0.002651,2.757777,0.00582,"Healthcare GEPU",61501.298149
"w270",4.852784,0.023858,203.402615,0,"Healthcare GEPU",-30725.6826210933
"alpha71",0.059581,0.014294,4.168408,3.1e-05,"Healthcare GPR",14.5626476290563
"gamma71",0.719617,0.091187,7.891624,0,"Healthcare GPR",0.0832897576467666
"beta71",0.016056,0.23363,0.068725,0.945209,"Healthcare GPR",0.0121291939171936
"m71",12.514764,0.129298,96.790101,0,"Healthcare GPR",61632.389105
"theta71",0.085667,0.007746,11.059638,0,"Healthcare GPR",61670.322012
"w271",1.05076,0.102066,10.294924,0,"Healthcare GPR",-30810.194552606
"alpha72",0.000228,5e-06,42.225025,0,"Healthcare BKK",0.161643927209354
"gamma72",0.002352,4.3e-05,55.269412,0,"Healthcare BKK",0.0861783180869997
"beta72",0.997596,3.6e-05,27736.997032,0,"Healthcare BKK",0.000139302017758795
"m72",12.461487,0.012626,986.931489,0,"Healthcare BKK",61464.744772
"theta72",0.027799,0.01019,2.728034,0.006371,"Healthcare BKK",61502.677678
"w272",1.001036,1.769836,0.56561,0.571659,"Healthcare BKK",-30726.3723859207
"alpha73",0.00024,5e-06,44.560676,0,"Healthcare Unemployment",2.73270526731135
"gamma73",0.002412,0.000116,20.825336,0,"Healthcare Unemployment",0.102293735537309
