permno,adate,qdate,public_date,pe_op_basic,pe_exi,roa,rd_sale,TICKER
41355,2020-06-30,2020-09-30,2020-11-30,25.001,29.369,0.130,0.022,PH
41355,2020-06-30,2020-09-30,2020-12-31,25.483,29.935,0.130,0.022,PH
41355,2020-06-30,2020-09-30,2021-01-31,24.753,29.078,0.130,0.022,PH
41355,2020-06-30,2020-12-31,2021-02-28,25.736,26.111,0.134,0.022,PH
41355,2020-06-30,2020-12-31,2021-03-31,28.290,28.702,0.134,0.022,PH
41355,2020-06-30,2020-12-31,2021-04-30,28.144,28.554,0.134,0.022,PH
41355,2020-06-30,2021-03-31,2021-05-31,25.982,26.270,0.140,0.022,PH
41355,2020-06-30,2021-03-31,2021-06-30,25.895,26.182,0.140,0.022,PH
41355,2020-06-30,2021-03-31,2021-07-31,26.309,26.601,0.140,0.022,PH
41355,2021-06-30,2021-06-30,2021-08-31,22.273,22.222,0.151,0.018,PH
41355,2021-06-30,2021-06-30,2021-09-30,20.992,20.945,0.151,0.018,PH
41355,2021-06-30,2021-06-30,2021-10-31,22.267,22.216,0.151,0.018,PH
41355,2021-06-30,2021-09-30,2021-11-30,20.746,21.108,0.159,0.017,PH
41355,2021-06-30,2021-09-30,2021-12-31,21.849,22.231,0.159,0.017,PH
41355,2021-06-30,2021-09-30,2022-01-31,21.292,21.664,0.159,0.017,PH
41355,2021-06-30,2021-12-31,2022-02-28,18.999,21.385,0.165,0.017,PH
41355,2021-06-30,2021-12-31,2022-03-31,18.190,20.473,0.165,0.017,PH
41355,2021-06-30,2021-12-31,2022-04-30,17.360,19.540,0.165,0.017,PH
41355,2021-06-30,2022-03-31,2022-05-31,16.677,21.033,0.164,0.017,PH
41355,2021-06-30,2022-03-31,2022-06-30,15.077,19.015,0.164,0.017,PH
41355,2021-06-30,2022-03-31,2022-07-31,17.714,22.341,0.164,0.017,PH
41355,2022-06-30,2022-06-30,2022-08-31,15.506,26.264,0.151,0.017,PH
41355,2022-06-30,2022-06-30,2022-09-30,14.178,24.015,0.151,0.017,PH
41355,2022-06-30,2022-06-30,2022-10-31,17.005,28.803,0.151,0.017,PH
41355,2022-06-30,2022-09-30,2022-11-30,17.063,31.107,0.156,0.016,PH
41355,2022-06-30,2022-09-30,2022-12-31,16.610,30.281,0.156,0.016,PH
41355,2022-06-30,2022-09-30,2023-01-31,18.607,33.923,0.156,0.016,PH
41355,2022-06-30,2022-12-31,2023-02-28,20.175,36.311,0.148,0.015,PH
41355,2022-06-30,2022-12-31,2023-03-31,19.272,34.686,0.148,0.015,PH
41355,2022-06-30,2022-12-31,2023-04-30,18.628,33.527,0.148,0.015,PH
41355,2022-06-30,2023-03-31,2023-05-31,17.636,27.696,0.146,0.015,PH
41355,2022-06-30,2023-03-31,2023-06-30,21.466,33.711,0.146,0.015,PH
41355,2022-06-30,2023-03-31,2023-07-31,22.565,35.437,0.146,0.015,PH
41355,2023-06-30,2023-06-30,2023-08-31,22.140,25.991,0.152,0.017,PH
41355,2023-06-30,2023-06-30,2023-09-30,20.686,24.284,0.152,0.017,PH
41355,2023-06-30,2023-06-30,2023-10-31,19.592,22.999,0.152,0.017,PH
41355,2023-06-30,2023-09-30,2023-11-30,22.011,24.052,0.148,0.017,PH
41355,2023-06-30,2023-09-30,2023-12-31,23.410,25.580,0.148,0.017,PH
41355,2023-06-30,2023-09-30,2024-01-31,23.603,25.791,0.148,0.017,PH
41355,2023-06-30,2023-12-31,2024-02-29,25.365,26.494,0.154,0.017,PH
41355,2023-06-30,2023-12-31,2024-03-31,26.328,27.501,0.154,0.017,PH
41355,2023-06-30,2023-12-31,2024-04-30,25.813,26.962,0.154,0.017,PH
41355,2023-06-30,2024-03-31,2024-05-31,24.460,25.001,0.157,0.017,PH
41355,2023-06-30,2024-03-31,2024-06-30,23.277,23.792,0.157,0.017,PH
41355,2023-06-30,2024-03-31,2024-07-31,25.824,26.395,0.157,0.017,PH
41355,2024-06-30,2024-06-30,2024-08-31,26.843,27.482,0.163,0.015,PH
41355,2024-06-30,2024-06-30,2024-09-30,28.257,28.929,0.163,0.015,PH
41355,2024-06-30,2024-06-30,2024-10-31,28.357,29.033,0.163,0.015,PH
41355,2024-06-30,2024-09-30,2024-11-30,30.978,31.748,0.166,0.015,PH
86228,2016-12-31,2017-09-30,2018-01-31,28.787,29.153,0.133,0.000,RSG
86228,2017-12-31,2017-12-31,2018-02-28,27.760,17.820,0.133,0.000,RSG
86228,2017-12-31,2017-12-31,2018-03-31,27.368,17.568,0.133,0.000,RSG
86228,2017-12-31,2017-12-31,2018-04-30,26.727,17.156,0.133,0.000,RSG
86228,2017-12-31,2018-03-31,2018-05-31,25.835,17.028,0.135,0.000,RSG
86228,2017-12-31,2018-03-31,2018-06-30,26.192,17.263,0.135,0.000,RSG
86228,2017-12-31,2018-03-31,2018-07-31,27.770,18.303,0.135,0.000,RSG
