"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m10",0.092166,0.227524,0.405084,0.685416,"Consumer China_EPU",10322.827649
"theta10",0.002338,0.000683,3.423779,0.000618,"Consumer China_EPU",10359.552965
"w210",1.001,0.715229,1.399553,0.161647,"Consumer China_EPU",-5155.41382468087
"alpha9",0.049177,0.019834,2.479427,0.013159,"Consumer US_EPU",54.6167465611075
"gamma9",0.166065,0.044682,3.716558,0.000202,"Consumer US_EPU",1.22744914716225
"beta9",0.836879,0.021637,38.67765,0,"Consumer US_EPU",2632.34851028183
"m9",-0.407296,1.608944,-0.253145,0.800156,"Consumer US_EPU",10315.062817
"theta9",0.007246,0.00732,0.989827,0.322259,"Consumer US_EPU",10351.788133
"w29",3.720194,1.513214,2.458472,0.013953,"Consumer US_EPU",-5151.53140843635
"alpha8",0.054218,0.0146,3.713675,0.000204,"Consumer STLStress",64.3943344531447
"gamma8",0.138245,0.03427,4.03394,0.000055,"Consumer STLStress",1.23317696006016
"beta8",0.854855,0.023044,37.09645,0,"Consumer STLStress",2632.28576635089
"m8",0.634451,0.231247,2.743603,0.006077,"Consumer STLStress",10333.532948
"theta8",-0.165096,0.265251,-0.622413,0.53367,"Consumer STLStress",10370.258264
"w28",1.001001,0.062764,15.948661,0,"Consumer STLStress",-5160.76647384287
"alpha7",0.052966,0.032476,1.63092,0.102907,"Consumer CFNAI",53.9918023523527
"gamma7",0.16512,0.078641,2.09966,0.035759,"Consumer CFNAI",1.23135725208529
"beta7",0.835053,0.021015,39.735919,0,"Consumer CFNAI",2643.17884199554
"m7",0.572361,1.812522,0.315782,0.752168,"Consumer CFNAI",10327.290356
"theta7",-0.400487,0.440357,-0.909459,0.363108,"Consumer CFNAI",10364.015672
"w27",2.238244,0.337207,6.637588,0,"Consumer CFNAI",-5157.64517788053
"alpha6",0.054645,0.053338,1.024509,0.305595,"Consumer BKKIndex",54.7395742236176
"gamma6",0.140894,0.137045,1.028085,0.30391,"Consumer BKKIndex",1.23331138037773
"beta6",0.851661,0.063401,13.43291,0,"Consumer BKKIndex",2631.82954404042
"m6",0.623687,2.432232,0.256426,0.797622,"Consumer BKKIndex",10334.195298
"theta6",-0.059814,0.619313,-0.096581,0.923059,"Consumer BKKIndex",10370.920614
"w26",1.001004,1.580179,0.633475,0.526423,"Consumer BKKIndex",-5161.09764878154
"alpha5",0.05212,0.016423,3.173706,0.001505,"Consumer UMich",57.689783918584
"gamma5",0.154495,0.041451,3.727198,0.000194,"Consumer UMich",1.23276445193614
"beta5",0.842659,0.027224,30.95332,0,"Consumer UMich",2633.45045385545
"m5",0.620874,0.218021,2.847772,0.004403,"Consumer UMich",10332.044072
"theta5",-0.125685,0.166617,-0.754333,0.450649,"Consumer UMich",10368.769388
"w25",1.616248,0.174212,9.277507,0,"Consumer UMich",-5160.02203585458
"alpha4",0.052579,0.014584,3.605175,0.000312,"Consumer Credit",54.0339569839292
"gamma4",0.149802,0.032566,4.600005,0.000004,"Consumer Credit",1.23296321929212
"beta4",0.845507,0.019947,42.388314,0,"Consumer Credit",2629.47092729529
"m4",0.626433,0.129146,4.850582,0.000001,"Consumer Credit",10332.851458
"theta4",0.544472,0.181686,2.996772,0.002729,"Consumer Credit",10369.576774
"w24",5.326743,0.458976,11.605723,0,"Consumer Credit",-5160.42572909122
"alpha3",0.054799,0.015049,3.641277,0.000271,"Consumer Risk",52.4291754224153
"gamma3",0.146927,0.034868,4.213827,0.000025,"Consumer Risk",1.23275728849245
"beta3",0.844958,0.021866,38.642313,0,"Consumer Risk",2629.61338830507
"m3",0.8569,0.183409,4.672074,0.000003,"Consumer Risk",10332.37357
"theta3",0.527864,0.084059,6.279686,0,"Consumer Risk",10369.098886
"w23",4.068907,0.144728,28.114099,0,"Consumer Risk",-5160.18678506576
"alpha2",0.056191,0.01508,3.726306,0.000194,"Consumer Leverage",40.8035819232466
"gamma2",0.154351,0.034223,4.510141,0.000006,"Consumer Leverage",1.23034236847125
