"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"gamma13",0.203694,0.03746,5.437585,0,"Healthcare VIX",0.833488184993994
"beta13",0.814081,0.052695,15.449051,0,"Healthcare VIX",1025.61564805299
"m13",-0.769572,1.320251,-0.582898,0.559962,"Healthcare VIX",8992.193405
"theta13",0.04124,0.057794,0.713568,0.475494,"Healthcare VIX",9028.918721
"w213",11.913092,6.814004,1.748325,0.080408,"Healthcare VIX",-4490.0967024337
"alpha12",0.037629,0.015844,2.375019,0.017548,"Financial EqVol",0.262292754852584
"gamma12",0.237404,0.053814,4.411541,1e-05,"Financial EqVol",1.35640855313854
"beta12",0.798614,0.037076,21.539924,0,"Financial EqVol",5066.80002516082
"m12",0.864643,0.303233,2.85141,0.004353,"Financial EqVol",10753.15184
"theta12",-0.2008,0.155178,-1.294,0.195665,"Financial EqVol",10789.877156
"w212",12.154942,0.088802,136.876848,0,"Financial EqVol",-5370.57591985818
"alpha11",0.03759,0.016498,2.278518,0.022696,"Financial VVIX",3.43833795839326
"gamma11",0.25696,0.052521,4.892486,1e-06,"Financial VVIX",1.34885774108576
"beta11",0.764604,0.03759,20.340673,0,"Financial VVIX",5006.52045416446
"m11",-1.688577,0.106459,-15.861292,0,"Financial VVIX",10726.600556
"theta11",0.024993,0.002027,12.328836,0,"Financial VVIX",10763.325872
"w211",2.187333,0.098933,22.109273,0,"Financial VVIX",-5357.30027801625
"alpha10",0.018202,0.013051,1.394702,0.163106,"Financial OilVol",4.48958889896187
"gamma10",0.25625,0.04679,5.476566,0,"Financial OilVol",1.34556607741234
"beta10",0.785883,0.034936,22.495025,0,"Financial OilVol",5013.29257835087
"m10",-0.557982,0.130072,-4.289802,1.8e-05,"Financial OilVol",10716.131754
"theta10",0.031876,0.004107,7.761838,0,"Financial OilVol",10752.85707
"w210",2.078505,0.125674,16.53892,0,"Financial OilVol",-5352.06587716944
"alpha9",0.039794,0.020654,1.926689,0.054018,"Financial MOVE",0.221863758390221
"gamma9",0.24352,0.044316,5.495114,0,"Financial MOVE",1.35658522144412
"beta9",0.791282,0.0674,11.74004,0,"Financial MOVE",5065.93370028645
"m9",0.549625,0.96778,0.567923,0.570087,"Financial MOVE",10753.798838
"theta9",0.003011,0.007345,0.409954,0.681839,"Financial MOVE",10790.524154
"w29",1.001009,3.995897,0.250509,0.802194,"Financial MOVE",-5370.899418947
"alpha8",0.03772,0.015475,2.437502,0.014789,"Financial Skew",0.218182784503745
"gamma8",0.243545,0.04856,5.015387,1e-06,"Financial Skew",1.35659630285401
"beta8",0.792062,0.034137,23.202787,0,"Financial Skew",5060.03935928558
"m8",1.653397,0.429,3.85407,0.000116,"Financial Skew",10753.631649
"theta8",-0.006717,0.003605,-1.863275,0.062424,"Financial Skew",10790.356965
"w28",49.681966,0.329888,150.602668,0,"Financial Skew",-5370.81582454758
"alpha7",0.01908,0.014809,1.288409,0.197604,"Financial VIX",9.65357667712754
"gamma7",0.291844,0.047876,6.095854,0,"Financial VIX",1.33248508239009
"beta7",0.690281,0.033495,20.608621,0,"Financial VIX",5106.86052362289
"m7",-1.019848,0.202989,-5.024161,1e-06,"Financial VIX",10671.289094
"theta7",0.084005,0.009341,8.992726,0,"Financial VIX",10708.01441
"w27",10.576601,0.076164,138.865479,0,"Financial VIX",-5329.64454693462
"alpha6",0.053738,0.014523,3.700316,0.000215,"Consumer EqVol",0.72008286837987
"gamma6",0.137682,0.033778,4.076081,4.6e-05,"Consumer EqVol",1.2327482833104
"beta6",0.854478,0.022828,37.431083,0,"Consumer EqVol",2630.58167875068
"m6",0.801461,0.133564,6.000583,0,"Consumer EqVol",10332.113097
"theta6",-0.470664,0.285338,-1.649499,0.099046,"Consumer EqVol",10368.838413
"w26",1.001003,0.232536,4.304721,1.7e-05,"Consumer EqVol",-5160.05654837231
"alpha5",0.050278,0.015341,3.277389,0.001048,"Consumer VVIX",2.84837572408769
"gamma5",0.159179,0.034902,4.560746,5e-06,"Consumer VVIX",1.22884437801663
"beta5",0.839517,0.021144,39.705234,0,"Consumer VVIX",2629.06760056745
"m5",-1.753827,0.524366,-3.344664,0.000824,"Consumer VVIX",10319.020069
"theta5",0.024837,0.005372,4.623238,4e-06,"Consumer VVIX",10355.745385
"w25",2.023854,0.262326,7.715035,0,"Consumer VVIX",-5153.51003462701
"alpha4",0.046694,0.013898,3.359784,0.00078,"Consumer OilVol",2.7227480639013
"gamma4",0.1738,0.03592,4.838472,1e-06,"Consumer OilVol",1.22758119348735
"beta4",0.832688,0.019312,43.118576,0,"Consumer OilVol",2629.37149766494
"m4",-0.362104,0.119525,-3.029521,0.002449,"Consumer OilVol",10314.44004
"theta4",0.025068,0.005158,4.860219,1e-06,"Consumer OilVol",10351.165357
"w24",3.404768,0.381131,8.93332,0,"Consumer OilVol",-5151.22002020094
"alpha3",0.048433,0.015416,3.141732,0.00168,"Consumer MOVE",3.44074061264026
"gamma3",0.158764,0.035162,4.515175,6e-06,"Consumer MOVE",1.22839856453185
"beta3",0.837439,0.023191,36.110839,0,"Consumer MOVE",2620.23837787859
"m3",-0.519812,0.235693,-2.205462,0.027422,"Consumer MOVE",10317.102984
"theta3",0.013104,0.002977,4.401777,1.1e-05,"Consumer MOVE",10353.8283
"w23",2.602188,0.050372,51.659598,0,"Consumer MOVE",-5152.55149187888
"alpha2",0.046747,0.014342,3.259396,0.001116,"Consumer Skew",1.43721333835042
"gamma2",0.147507,0.035071,4.20598,2.6e-05,"Consumer Skew",1.23129121946522
"beta2",0.854774,0.022903,37.321806,0,"Consumer Skew",2626.94071109287
"m2",-2.295435,0.206655,-11.107577,0,"Consumer Skew",10326.980589
"theta2",0.022392,0.002138,10.474775,0,"Consumer Skew",10363.705905
"w22",3.955089,0.061937,63.856746,0,"Consumer Skew",-5157.49029462283
"alpha1",0.047496,0.01606,2.957341,0.003103,"Consumer VIX",4.42129040979046
"gamma1",0.18191,0.033368,5.451576,0,"Consumer VIX",1.22506937757891
"beta1",0.815972,0.019106,42.707381,0,"Consumer VIX",2628.61145877935
"m1",-0.790709,0.185539,-4.261688,2e-05,"Consumer VIX",10306.660957
"theta1",0.070753,0.008937,7.917019,0,"Consumer VIX",10343.386274
"w21",3.40237,0.572899,5.938869,0,"Consumer VIX",-5147.33047874311
