"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w268",1.721742,0.142524,12.080406,0,"Healthcare CESIGL",-4500.47897766721
"alpha67",0.010847,0.013882,0.781337,0.434605,"Healthcare CESIEUR",0.0780834111913736
"gamma67",0.167784,0.034274,4.895376,1e-06,"Healthcare CESIEUR",0.839454473737623
"beta67",0.858646,0.026525,32.371332,0,"Healthcare CESIEUR",1017.78285237457
"m67",0.043772,0.12444,0.351749,0.725027,"Healthcare CESIEUR",9012.957955
"theta67",-0.001765,0.003199,-0.551858,0.581046,"Healthcare CESIEUR",9049.683272
"w267",1.721295,0.075792,22.710918,0,"Healthcare CESIEUR",-4500.47897773782
"alpha66",0.007941,0.013672,0.580817,0.561364,"Healthcare CESICNY",1.32940827001522
"gamma66",0.172454,0.030046,5.739663,0,"Healthcare CESICNY",0.837055074376059
"beta66",0.854009,0.023668,36.0825,0,"Healthcare CESICNY",1020.31577922729
"m66",-0.016757,0.09026,-0.185658,0.852713,"Healthcare CESICNY",9004.435274
"theta66",-0.008599,0.00439,-1.958523,0.050169,"Healthcare CESICNY",9041.16059
"w266",1.175398,0.239491,4.907899,1e-06,"Healthcare CESICNY",-4496.21763688654
"alpha65",0.009876,0.013733,0.71916,0.472042,"Healthcare China_Sust",0.276673167076532
"gamma65",0.169745,0.033722,5.033722,0,"Healthcare China_Sust",0.83906796070939
"beta65",0.858563,0.026707,32.147144,0,"Healthcare China_Sust",1016.58856282103
"m65",0.005401,0.093784,0.057592,0.954074,"Healthcare China_Sust",9011.507266
"theta65",1.096415,0.118009,9.290947,0,"Healthcare China_Sust",9048.232582
"w265",1.08108,0.191808,5.636254,0,"Healthcare China_Sust",-4499.75363292643
"alpha64",0.009962,0.014034,0.709847,0.477799,"Healthcare GER_Sust",0.0473418397745537
"gamma64",0.16894,0.034822,4.851579,1e-06,"Healthcare GER_Sust",0.839474472123053
"beta64",0.85976,0.027702,31.035972,0,"Healthcare GER_Sust",1017.35054548093
"m64",0.023815,0.109608,0.217278,0.827992,"Healthcare GER_Sust",9013.050721
"theta64",0.564525,0.445817,1.266271,0.205416,"Healthcare GER_Sust",9049.776037
"w264",2.692331,0.240135,11.211734,0,"Healthcare GER_Sust",-4500.52536051023
"alpha63",0.007169,0.013712,0.52286,0.601071,"Healthcare US_Sust",0.928308082492126
"gamma63",0.173446,0.032495,5.337632,0,"Healthcare US_Sust",0.837068515336751
"beta63",0.85699,0.026847,31.9218,0,"Healthcare US_Sust",1017.51681121965
"m63",0.102668,0.118127,0.869132,0.384775,"Healthcare US_Sust",9004.293876
"theta63",-2.13208,1.421574,-1.499803,0.133666,"Healthcare US_Sust",9041.019192
"w263",1.685774,0.498366,3.382601,0.000718,"Healthcare US_Sust",-4496.14693781708
"alpha62",0.010055,0.014073,0.714486,0.474927,"Healthcare Global_Sust",0.228674649202268
"gamma62",0.168419,0.032495,5.182885,0,"Healthcare Global_Sust",0.838940347629267
"beta62",0.859354,0.027032,31.790092,0,"Healthcare Global_Sust",1018.14130241376
"m62",0.056501,0.101876,0.554603,0.579166,"Healthcare Global_Sust",9011.04935
"theta62",-3.284974,0.090297,-36.379671,0,"Healthcare Global_Sust",9047.774666
"w262",1.378999,0.325158,4.241005,2.2e-05,"Healthcare Global_Sust",-4499.52467480843
"alpha61",0.009594,0.013981,0.686237,0.492564,"Healthcare Saudi_GPR",0.0266518721030987
"gamma61",0.168931,0.034573,4.88617,1e-06,"Healthcare Saudi_GPR",0.839522525804676
"beta61",0.860021,0.026954,31.906542,0,"Healthcare Saudi_GPR",1015.62417620813
"m61",0.033557,0.12451,0.269515,0.787534,"Healthcare Saudi_GPR",9013.214075
"theta61",-1.092972,0.054072,-20.213111,0,"Healthcare Saudi_GPR",9049.939391
"w261",1.391579,0.054238,25.656727,0,"Healthcare Saudi_GPR",-4500.60703754422
"alpha60",0.00963,0.014376,0.66988,0.502935,"Healthcare GER_GPR",0.19879231615624
"gamma60",0.170465,0.038657,4.409731,1e-05,"Healthcare GER_GPR",0.839068028497781
"beta60",0.857606,0.027946,30.688311,0,"Healthcare GER_GPR",1020.08589639617
"m60",0.025546,0.153316,0.166623,0.867666,"Healthcare GER_GPR",9011.857372
"theta60",1.559468,0.312299,4.993515,1e-06,"Healthcare GER_GPR",9048.582688
"w260",1.001001,0.154691,6.470976,0,"Healthcare GER_GPR",-4499.92868611244
"alpha59",0.010444,0.013876,0.752683,0.451641,"Healthcare USA_GPR",0.0116252045514782
"gamma59",0.168466,0.033894,4.97034,1e-06,"Healthcare USA_GPR",0.839592339287762
"beta59",0.859355,0.027032,31.790844,0,"Healthcare USA_GPR",1016.21293493568
"m59",0.034314,0.094936,0.361442,0.717769,"Healthcare USA_GPR",9013.436861
"theta59",-0.139727,0.12581,-1.110623,0.266731,"Healthcare USA_GPR",9050.162177
"w259",1.875305,0.135396,13.850489,0,"Healthcare USA_GPR",-4500.71843051084
"alpha58",0.011505,0.013822,0.832398,0.405184,"Healthcare China_GPR",0.174949593334771
"gamma58",0.167312,0.031916,5.242219,0,"Healthcare China_GPR",0.839019614940685
"beta58",0.859668,0.02625,32.749162,0,"Healthcare China_GPR",1015.30749736842
"m58",0.041636,0.087912,0.473617,0.635773,"Healthcare China_GPR",9011.389283
"theta58",-2.005399,1.038141,-1.931721,0.053394,"Healthcare China_GPR",9048.114599
"w258",1.193772,0.37026,3.224144,0.001263,"Healthcare China_GPR",-4499.69464130042
"alpha57",0.010282,0.014255,0.721332,0.470705,"Healthcare Global_GPR",0.0276401620942701
"gamma57",0.169579,0.036818,4.605911,4e-06,"Healthcare Global_GPR",0.839495012611229
"beta57",0.858574,0.028041,30.618379,0,"Healthcare Global_GPR",1018.2719146571
"m57",0.031838,0.140368,0.226815,0.820568,"Healthcare Global_GPR",9013.275265
"theta57",0.006287,0.017136,0.36689,0.713701,"Healthcare Global_GPR",9050.000581
"w257",1.001002,0.224276,4.463266,8e-06,"Healthcare Global_GPR",-4500.63763244321
"alpha56",0.010319,0.01381,0.747196,0.454945,"Healthcare China_EPU",0.158565811251163
"gamma56",0.171171,0.033951,5.041782,0,"Healthcare China_EPU",0.839287446351594
"beta56",0.857386,0.025479,33.651145,0,"Healthcare China_EPU",1016.49351682027
"m56",-0.066631,0.154068,-0.43248,0.665392,"Healthcare China_EPU",9012.50977
"theta56",0.000491,0.000664,0.739104,0.459844,"Healthcare China_EPU",9049.235086
"w256",1.001003,0.219107,4.568546,5e-06,"Healthcare China_EPU",-4500.25488497002
"alpha55",0.006119,0.013362,0.457981,0.646966,"Healthcare US_EPU",1.31077221651186
"gamma55",0.183832,0.031424,5.85006,0,"Healthcare US_EPU",0.836257032940326
"beta55",0.847625,0.022114,38.330088,0,"Healthcare US_EPU",1014.74506091305
"m55",-0.468475,0.449121,-1.043092,0.296905,"Healthcare US_EPU",9002.780421
"theta55",0.00352,0.002903,1.212653,0.225262,"Healthcare US_EPU",9039.505738
"w255",13.016438,0.305749,42.5723,0,"Healthcare US_EPU",-4495.3902107067
"alpha54",0.010662,0.014126,0.754759,0.450393,"Healthcare STLStress",0.00314825953494792
"gamma54",0.168427,0.037344,4.510105,6e-06,"Healthcare STLStress",0.8395933381202
"beta54",0.859365,0.02728,31.50167,0,"Healthcare STLStress",1017.41224352052
"m54",0.032006,0.178584,0.179224,0.857762,"Healthcare STLStress",9013.542381
"theta54",-0.016738,0.281949,-0.059364,0.952662,"Healthcare STLStress",9050.267697
"w254",1.001004,0.115717,8.650482,0,"Healthcare STLStress",-4500.77119053892
