,Overall NFCI,Leverage,Risk,Credit,UMich,BKK Leading Index,CFNAI,St Louis Stress Index,China EPU,US EPU,Global GPR,China GPR,USA GPR,GER GPR,Saudi GPR,Global Sustainability Index,US Sustainability Index,GER Sustainability Index,China Sustainability Index,.CESICNY,.CESIEUR,.CESIGL
2014-12,-0.6004625,-0.1311749999999999,-0.62356,-0.1747475,93.6,0.7792212394314241,-0.05,-0.1992,58.89923617,85.1875,2.1461715698242188,-0.1216420531272888,0.0142538547515871,-0.1410987675189972,-0.0209964513778685,0.0493870249526096,0.24627669753572,0.0947195391295772,-0.0214274950852388,-0.2,10.2,4.8
2015-01,-0.512416,-0.094236,-0.55613,-0.091686,98.1,0.7641133480721933,0.13,0.0116,98.03493372,117.16063,25.45947265625,0.0364227890968322,0.3258252143859863,0.3041305243968964,0.0593593120574951,-0.0230658508789216,-0.0275910884469934,-0.0581686727576726,-0.1200521158137403,13.0,10.0,-1.0
2015-02,-0.5066675,-0.1247149999999999,-0.5435,-0.07665,95.4,0.6936693145097188,-0.11,-0.250075,95.11193973,100.31974,-0.0609970092773437,0.0348649919033051,0.3150002956390381,0.2966712713241577,-0.054409608244896,0.0306322166056198,0.0656935495208395,-0.2920278212661259,0.1100526950803795,-1.5,51.0,-5.2
2015-03,-0.52746,-0.1466825,-0.571275,-0.087995,93.0,0.6410827872508582,-0.42,-0.20215,116.265651,105.21813,-7.689430236816406,0.0757091343402862,0.0787477493286132,-0.2359619140625,0.3261126130819322,-0.0199741024523084,-0.1072374480197507,-0.0519468357754482,-0.0653957863882254,26.2,58.4,-6.1
2015-04,-0.537675,-0.1221199999999999,-0.5887249999999999,-0.0953374999999999,95.9,0.6415869877370699,-0.15,-0.344425,63.93907057,109.64379,-2.0447769165039205,0.1020815372467041,-0.0560247898101806,-0.1669819355010986,0.1700740456581115,0.0085702877123254,-0.014670612728991,0.049127797977573,0.008970054561836,-69.1,11.9,-17.8
2015-05,-0.531606,-0.07596,-0.57692,-0.104826,90.7,0.6560885756488787,-0.17,-0.3177999999999999,68.25076576,101.01894,-25.928161621093736,-0.2066262066364288,-0.7727144956588745,-0.2068697810173035,-0.2012060284614563,0.039711355834187,0.1629389187984415,-0.0286793133527011,0.0213647936544241,-106.1,-13.9,-20.8
2015-06,-0.5259175,-0.0801875,-0.5684175,-0.099675,96.1,0.6702176691535008,0.08,-0.243675,95.53624936,108.95279,9.643638610839844,0.0254468321800231,0.2423017024993896,0.1981171071529389,-0.1884388327598572,0.0645404894238685,0.2081102731980117,0.0150165920652678,-0.0826905186869508,-93.7,-5.0,-12.0
2015-07,-0.5069480000000001,-0.076164,-0.5725439999999999,-0.055954,93.1,0.6570941326966676,0.34,-0.1343,133.6395202,98.91843,20.90269470214844,0.4068469107151031,0.544899582862854,0.1557144224643707,0.1384396255016327,-0.0339226778752246,-0.1279302728642516,0.1635069963649147,-0.0171111921184726,-24.8,7.1,-2.6
2015-08,-0.43939,0.02806,-0.5425475,0.0195275,91.9,0.6886133641448371,-0.41,0.137625,60.20590772,129.69532,-24.33013153076172,-0.2843676507472992,-0.5933758020401001,-0.3092251121997833,-0.2806006520986557,-0.0412174534532328,-0.0523804967032932,-0.1487283709072334,0.0406877496407196,-47.2,16.2,-1.6
2015-09,-0.390775,0.10219,-0.5163725,0.0595475,87.2,0.6766611727893567,-0.37,0.242975,96.43061547,138.72169,16.288925170898438,-0.0253273844718933,0.4268742799758911,0.2294998466968536,0.226223424077034,-0.0101060760865367,0.001737468776038,-0.0459688547271602,-0.0417239816810783,-49.8,33.0,-9.6
