"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"m30",0.505318,0.375563,1.345494,0.178466,"NASDAQ100 CFNAI",10901.773157
"theta30",-0.519992,0.259967,-2.000224,0.045476,"NASDAQ100 CFNAI",10938.811224
"w230",1.575793,0.761594,2.069072,0.038539,"NASDAQ100 CFNAI",-5444.88657828454
"alpha29",0.008171,0.014937,0.547029,0.584359,"NASDAQ100 BKKIndex",0.940159388768078
"gamma29",0.195153,0.036519,5.343953,0,"NASDAQ100 BKKIndex",1.24151518710155
"beta29",0.862418,0.018367,46.95544,0,"NASDAQ100 BKKIndex",2116.95611654711
"m29",0.530215,0.119005,4.455416,8e-06,"NASDAQ100 BKKIndex",10915.339271
"theta29",-0.165683,0.120505,-1.374911,0.169159,"NASDAQ100 BKKIndex",10952.377339
"w229",1.001003,0.151247,6.618323,0,"NASDAQ100 BKKIndex",-5451.66963531629
"alpha28",1e-04,0.015119,0.006619,0.994718,"NASDAQ100 UMich",2.8883397154072
"gamma28",0.231832,0.033492,6.922058,0,"NASDAQ100 UMich",1.23652664088083
"beta28",0.838661,0.016939,49.51035,0,"NASDAQ100 UMich",2114.87878718455
"m28",0.552246,0.140264,3.937182,8.2e-05,"NASDAQ100 UMich",10897.326582
"theta28",-0.284408,0.10897,-2.60997,0.009055,"NASDAQ100 UMich",10934.36465
"w228",1.41011,0.136578,10.324544,0,"NASDAQ100 UMich",-5442.66329113533
"alpha27",1e-04,0.01881,0.00532,0.995756,"NASDAQ100 Credit",2.19187471994515
"gamma27",0.220337,0.041556,5.302111,0,"NASDAQ100 Credit",1.23765394545756
"beta27",0.847169,0.01489,56.894777,0,"NASDAQ100 Credit",2109.99896902411
"m27",0.573857,0.117227,4.895245,1e-06,"NASDAQ100 Credit",10902.373054
"theta27",1.284736,0.469994,2.733515,0.006266,"NASDAQ100 Credit",10939.411122
"w227",4.997277,1.202437,4.155958,3.2e-05,"NASDAQ100 Credit",-5445.18652698796
"alpha26",0.002652,0.017914,0.148031,0.882319,"NASDAQ100 Risk",1.04774798335113
"gamma26",0.200226,0.037513,5.337501,0,"NASDAQ100 Risk",1.24087517582865
