"","Estimate","Std..Error","t.value","Pr...t..","c.nm_var..nm_var..nm_var..nm_var..nm_var..nm_var.","model_diagnostics"
"w214",1.001023,14.757851,0.06783,0.945921,"SP1500 Skew",-4618.8398133165
"alpha13",0.000105,0.018305,0.00576,0.995404,"SP1500 VIX",2.42338918349797
"gamma13",0.283088,0.043009,6.582023,0,"SP1500 VIX",0.762571667415473
"beta13",0.815866,0.02402,33.965548,0,"SP1500 VIX",1703.69063665787
"m13",-2.020198,0.627052,-3.221741,0.001274,"SP1500 VIX",9223.38766
"theta13",0.023349,0.006636,3.518357,0.000434,"SP1500 VIX",9260.425727
"w213",2.198535,0.712531,3.085529,0.002032,"SP1500 VIX",-4605.69382978364
"alpha12",0.006448,0.015912,0.405255,0.68529,"NASDAQ100 EqVol",0.407752316012514
"gamma12",0.187142,0.077963,2.400394,0.016377,"NASDAQ100 EqVol",1.24210040094647
"beta12",0.870075,0.027709,31.400731,0,"NASDAQ100 EqVol",2117.32431420813
"m12",0.644636,0.417368,1.544525,0.122461,"NASDAQ100 EqVol",10916.868754
"theta12",-0.228764,0.107853,-2.121063,0.033917,"NASDAQ100 EqVol",10953.906822
"w212",17.638143,226.118418,0.078004,0.937825,"NASDAQ100 EqVol",-5452.43437722147
"alpha11",0.0001,0.013599,0.00736,0.994128,"NASDAQ100 VVIX",3.43859035763218
"gamma11",0.227495,0.033345,6.822493,0,"NASDAQ100 VVIX",1.23563246378034
"beta11",0.840008,0.017391,48.301052,0,"NASDAQ100 VVIX",2107.4786026801
"m11",-1.821322,0.658962,-2.763924,0.005711,"NASDAQ100 VVIX",10893.277643
"theta11",0.024835,0.006874,3.612943,0.000303,"NASDAQ100 VVIX",10930.315711
"w211",2.550113,0.930572,2.740372,0.006137,"NASDAQ100 VVIX",-5440.63882174742
"alpha10",0.0001,0.018694,0.005351,0.995731,"NASDAQ100 OilVol",3.89615019457986
"gamma10",0.232015,0.031571,7.348979,0,"NASDAQ100 OilVol",1.23001781224568
"beta10",0.836977,0.015842,52.833003,0,"NASDAQ100 OilVol",2106.88070369281
"m10",-0.53704,0.29308,-1.832397,0.066892,"NASDAQ100 OilVol",10873.852333
"theta10",0.028106,0.007014,4.007178,0.000061,"NASDAQ100 OilVol",10910.890401
"w210",3.251425,0.716497,4.537945,0.000006,"NASDAQ100 OilVol",-5430.9261664273
"alpha9",0.002878,0.023496,0.12248,0.902519,"NASDAQ100 MOVE",1.35554536494751
"gamma9",0.189942,0.036653,5.182189,0,"NASDAQ100 MOVE",1.24022089083417
"beta9",0.867703,0.032908,26.367214,0,"NASDAQ100 MOVE",2115.70816313234
"m9",-0.087885,0.328187,-0.26779,0.788861,"NASDAQ100 MOVE",10910.844324
"theta9",0.007413,0.004074,1.819443,0.068844,"NASDAQ100 MOVE",10947.882392
"w29",1.368821,15.298089,0.089477,0.928703,"NASDAQ100 MOVE",-5449.42216208563
"alpha8",0.006285,0.014009,0.448635,0.653695,"NASDAQ100 Skew",0.612252867009731
"gamma8",0.18583,0.039321,4.726029,0.000002,"NASDAQ100 Skew",1.24192770403211
"beta8",0.872989,0.022268,39.204402,0,"NASDAQ100 Skew",2121.94451047773
"m8",-0.871422,0.15087,-5.775964,0,"NASDAQ100 Skew",10916.375214
"theta8",0.011128,0.000127,87.857495,0,"NASDAQ100 Skew",10953.413282
"w28",87.537594,342.243501,0.255776,0.798124,"NASDAQ100 Skew",-5452.18760724657
"alpha7",0.0001,0.013858,0.007218,0.994241,"NASDAQ100 VIX",3.43858356442574
"gamma7",0.227495,0.037494,6.067453,0,"NASDAQ100 VIX",1.23563245947625
"beta7",0.840008,0.018463,45.498005,0,"NASDAQ100 VIX",2107.47868345872
